0x000BDA  呼∼∼∼！
0x000BE6  我啊，說不定不能通過測驗呢∼∼！！
0x000C0A  我也是啊……
0x000C18  …………
0x000C22  …………
0x000C2C  如果……
0x000C36  如果……？
0x000C42  如果沒辦法通過測驗的話……
0x000C5E  要不要兩個人一起努力？
0x000C7E  在能夠有自信通過測驗之前，
0x000C9A  一起修行怎麼樣？
0x000CAC  在這裡……？
0x000CBA  沒錯！
0x000CC2  在這個世界裡呀，
0x000CD4  可是有四個賢者學舍唷。
0x000CEC  …………
0x000CF6  雖然如此，我們要留在這裡，
0x000D12  並不是因為誰幫我們做了決定。
0x000D30  而是因為我們兩個是在這裡認識的嘛。
0x000D54  凱洛……
0x000D5E  雖然我不是很清楚，不過，
0x000D78  這裡好像發生了什麼很嚴重的事情。
0x000D9A  不但中央校舍被摧毀了，
0x000DB2  還有好多怪物來襲擊我們。
0x000DCC  …………
0x000DD6  雖然如此，我們還是在這裡變成了朋友。
0x000DFC  所以呢，欸嘿嘿。
0x000E0E  雖然我不是很明白這背後的因緣啦……
0x000E32  不過，我還是想好好加油！
0x000E4C  …………
0x000E56  …………
0x000E60  我也是，如果可以的話，
0x000E78  我也想跟妳一起在這裡求學。
0x000E94  關於愛爾梅納斯、關於賢者、
0x000EB0  還有關於這裡的大家……
0x000EC8  我想瞭解的事情，有好多好多。
0x000EE6  嗯！！
0x000EEE  而且呢，大家也都想多瞭解我們一點呢！！
0x000F16  ……嗯嗯。
0x000F22  …………
0x000F2C  …………
0x000F36  妳們兩個的心情我能夠瞭解。
0x000F52  妳是……艾爾雪學姊……？
0x000F6C  就和我跟艾爾雪的心情是一樣的。
0x000F8C  …………
0x000F96  法娜學姊……？
0x000FA6  那麼，難道……？
0x000FB8  …………
0x000FC2  在那月光下，霧氣瀰漫的靜寂中。
0x000FE2  在那無聲地搖曳的真實之畔。
0x000FFE  讓我們牽起對方的手。
0x001014  為了從今以後互相扶持，結起彼此間的羈絆，
0x00103E  在此宣誓。
0x00104A  …………
0x001054  歡迎兩位來到這世界邊緣的學舍。
0x001074  從今天開始，
0x001082  伊諾森提雅就是各位的第二個故鄉了。
0x0010A6  …………
0x0010B0  老師……！！
0x0010BE  …………
0x0010C8  好耶！！！
0x0010D4  Ｙｅｓ！　Ｙｅｓ！　Ｙｅｓ！
0x0010F2  …………
0x0010FC  …………
0x001106  感謝那高貴的虛空之翼。
0x00111E  造訪這世界邊緣的孩子們呀。
0x00113A  有著澄澈眼神的精靈們呀。
0x001154  請讓我們聽聽你們追求的誓願。
0x001172  …………
0x00117C  就算將來的路途嚴苛……
0x001194  沒有盡頭。
0x0011A0  …………
0x0011AA  也要順著自己率直的心意去走。
0x0011C8  …………
0x0011D2  …………
0x0011DC  要完成成為賢者的心願。
0x0011F4  要貫徹自己追求的目標。
0x00120C  …………
0x001216  …………
0x001220  …………
0x00122A  …………
0x001234  我相信你們。
0x001242  在這處於世界邊緣的學舍裡，以你們的真心，
0x00126C  讓這誓言持續，直到永遠……
