0x001014  各位是因為曾經在篳路藍縷之中，胼手胝足地努力，
0x001044  所以才會身列四大學級之一，成就要以努力來獲得，
0x001074  這是不變的道理。
0x001086  然而，各位離開了「白皙的城砦」安蒂米昂，
0x0010B0  像是小孩子辦家家酒一樣地又哭又笑，究竟又是為了什麼？
0x0010E6  看哪，那些幼小孩子們在恐懼中的可憐身影。
0x001110  看哪，那呼喚混沌、繼承邪惡血脈傢伙們的惡行惡狀。
0x001142  如果你們還懂得那一點點的廉恥，就在那必然會來臨的時機下，
0x00117C  在我們葛斯貝布洛的膝下臣服，宣誓效忠吧。
0x0011A6  若有反抗，奉行鋼鐵般正義的我們，討伐你們的戰爭，
0x0011D8  也只會像是單方面的虐殺而已。
0x001232  葛斯貝布洛會以這樣的形式開始動作，
0x001256  還真是令人想像不到，是吧。
0x001272  不但一點禮貌也沒有，
0x001288  甚至連個客套話都不說呢……
0x0012A4  ……帕彌菈。
0x0012B2  唉呀，法娜。
0x0012C0  …………
0x0012CA  …………
0x0012D4  我之前……
0x0012E0  都沒有周詳地考慮過呢。
0x0012F8  既然帕蘭達因曾以執掌黑闇為由，
0x001318  討伐聖瑟維艾斯……
0x00132C  那麼，藏匿聖瑟維艾斯的生還者的行為也……
0x001356  老師已經決定了要洗清聖瑟維艾斯的污名。
0x00137E  ……可是。
0x00138A  我……
0x001392  如果不是因為我在這裡的話，
0x0013AE  不動的橋墩也不會……
0x0013C4  法娜，就算真的是像妳說的這樣，
0x0013E4  到了現在這種地步，
0x0013F8  我們也絕對不會交出任何人的。
0x001416  不，從一開始接納妳進入純潔之盾的時候，
0x00143E  老師就已經有這樣的覺悟了。
0x00145A  …………
0x001464  而在那之後不論會有怎麼樣的結果，
0x001486  他都會用笑容去面對，對吧？
0x0014A2  他就是這樣的一個人。
0x0014C0  妳所選擇的老師，就是這樣的一個人。
0x0014E4  …………
0x0014EE  所以啊，就打起精神來吧。
0x001508  對於這麼無聊的話語，
0x00151E  妳又有什麼好迷惑的呢？
0x001536  ……抱歉，帕彌菈。
0x00154A  別在意。
0x001554  ……夏朧呢？
0x001562  她現在應該跟老師在一起吧。
0x00157E  這世界上還是有很多不要問清楚會比較好的事
0x0015A8  情呢。
0x0015B0  …………
0x0015BA  那麼，我也不會再迷惑了。
0x0015D4  從今以後，只要想著為純潔之盾效力就好了。
0x0015FE  嗯嗯。
0x001606  ……那，我想向老師建議收復安蒂米昂。
0x00162C  好啊。
0x001634  我想，老師一定也在等我們這樣做呢。
0x001658  ……那就這麼決定啦。
0x00166E  …………
0x001678  在愛爾梅納斯危急存亡的關頭，
0x001696  竟然這樣……真是過分……
0x0016B0  明明是劍聖輩出的名門……
0x0016CA  可是……
0x0016D4  我稍微可以瞭解，
0x0016E6  他們其實想和我們在一起的心情。
0x001706  ……奎絲忒。
0x001714  那封信，嗯嗯，
0x001724  雖然我不知道那可不可以叫做一封信啦。
0x00174A  像那樣是不行的。
0x00175C  但是，我不覺得那是他們的本意……
0x00177E  ……咦？
0x001788  就好像，嗯。
0x001796  對第一次見面的小狗稍微地欺負一下而已。
0x0017BE  對吧？
0x0017C6  不會吧。
0x0017D0  嗯……
0x0017D8  可是……
0x0017E2  因為那個語氣給我一種…非常…笨拙的感覺。
0x00180C  老師。
0x001814  …………
0x00181E  現在要回去嗎？
0x00182E  差不多也該回到安蒂米昂了吧。
0x00184C  啊……
0x001854  哇嗚！
0x00185C  呵……
0x001864  啊啊？
0x00186C  …………
0x001876  …………
0x001880  安蒂米昂……
0x00188E  你們幾個的想法如何？
0x0018A4  …………
0x0018AE  …………
0x0018B8  …………
0x0018C2  當然，不可能不想回去啦……！
0x0018E0  我也想要回去。
0x0018F0  …………
0x0018FA  艾爾雪？
0x001904  …………
0x00190E  我沒有異議。
0x001924  如果那就是純潔之盾應該要走的道路的話。
0x00194C  …………
0x001956  試試看吧，老師。
0x001968  一起回到安蒂米昂吧。
0x00197E  如果成功的話，那些人對我們的評價，應該也
0x0019A8  會稍微有所改變吧。我是這樣想的。
0x0019CA  我想讓他們看看，
0x0019DC  這點程度的事情我們是辦得到的。
0x0019FC  我們才不會每天在哭泣裡入睡呢……！！
0x001A22  …………
0x001A2C  …………
0x001A36  請求您……！
0x001A44  我瞭解了。
0x001A50  如果大家的想法都一致的話……
0x001A6E  那麼我們就出發吧。
