0x0001B4  《終於要收復安蒂米昂了嗎？
0x0001D0  　如果成功的話，就可以堂堂正正地回應葛斯
0x0001FA  　貝布洛了吧。
0x00020A  　無論是帕彌菈或是法娜，
0x000224  　大家都對這件事情很有自信呀。》
0x000246  《帕彌菈、法娜、艾爾雪、瑟希莉絲、伊里安
0x000270  　、夏朧、凱洛特、奎絲忒……
0x00028E  　一開始不過從三個人開始，
0x0002AA  　現在這裡也聚集了這麼多的人。》
0x0002CC  《如果……羅弗利被囚禁在安蒂米昂的事情是
0x0002F6  　真的。
0x000300  　那麼這樣做的人究竟是帕蘭達因呢？
0x000324  　還是葛斯貝布洛？
0x000338  　或者是賢者圓桌？》
0x000356  　羅亞爾•聖提淪陷了，
0x00036E  　很快地，時代就這樣改變了呀。》
0x000390  本來，為了這個世界的安寧，
0x0003AC  或許把那個傢伙監禁起來也是應該的……
0x0003D2  然而，只要那裡有痛苦的人們的話，
0x0003F4  我們就應該無差別地伸出援手。
0x000412  呼呼，可是呢……
0x000424  那傢伙感到痛苦的表情，
0x00043C  我還真是完全沒辦法想像呢。
