0x0006D6  羅弗利……！！
0x0006E6  好久不見哪。
0x0006F4  …………
0x0006FE  我還以為你已經死了咧。
0x000716  當然，我也以為你已經往生了咧。
0x000736  …………
0x000740  我現在這樣不是很好嗎，在收復了安蒂米昂的
0x00076A  這種好日子裡，就不要把我放出來了嘛。
0x000790  就讓我任性地，但是自由地待在這裡看看呀。
0x0007BA  修奈鐸那張臭臉一旦在眼前浮現，
0x0007DA  要是沒有個三年，可還真的忘不了呀。
0x0007FE  羅弗利先生，至少請喝口茶暖暖身子吧。
0x000824  ……唉呀呀，這可真是麻煩妳了，呼呼。
0x00084A  啊∼這還真是好喝呀。
0x000860  真不愧是「維夏的至寶」─崔諾瓦小姐。
0x000886  就算是泡茶也能夠做到最完美的境界。
0x0008AA  你這話也太……
0x0008BA  說到那個該打的傢伙，我可是一點也不認同他
0x0008E4  。那傢伙對孕育光明的黑闇的痛恨之深呀，真
0x00090E  是十分露骨。
0x00091C  編織光明的手在守護秩序與律法的同時，
0x000942  也會在另一隻手裡隱藏著邪惡的黑闇……
0x000968  …………
0x000972  而他竟然將這個與本質完全相反的混沌，
0x000998  拿來相提並論，
0x0009A8  而武斷地判定黑闇是「匍伏蔓延而來之物」的
0x0009D2  同類。
0x0009DA  …………
0x0009E4  像您這樣的人也能瞭解黑闇所擁有的安寧，
0x000A0C  以及靜寂之中的美德，
0x000A22  真是令人高興。
0x000A32  …………
0x000A3C  …………
0x000A46  …………
0x000A50  司掌光明與黑闇的聖者，
0x000A68  自古以來就無法脫離人們的誤解。
0x000A88  薛莉爾•崔諾瓦，
0x000A9A  就請妳用那溫柔的雙手……
0x000AB4  為混亂的愛爾梅納斯帶來希望吧。
0x000AD4  羅弗利先生……
0x000AE4  …………
0x000AEE  不要說得好像都是別人的事情嘛，
0x000B0E  羅弗利。
0x000B18  你也應該要幫忙做一些事情呀。
0x000B36  …………
0x000B40  你是認真的嗎？
0x000B50  聖瑟維艾斯已經被他們攻陷了。
0x000B6E  無論是賢者圓桌或是帕蘭達因，
0x000B8C  都不會輕易放過與混沌有所牽連的人。
0x000BB0  我是不會放棄法娜•修貝流士的，
0x000BD0  當然，我也不會放棄夏朧•佛洛斯蘋。
0x000BF4  大家也都是這樣想的。
0x000C0A  …………
0x000C14  就因為這樣，現在更需要解開你的鎖鏈。
0x000C3A  反正這樣也不會得罪賢者圓桌他們更多了，
0x000C62  大概吧……
0x000C6E  ……真是的。
0x000C7C  你這個傢伙，真的是個大笨蛋呀。
0x000C9C  …………
0x000CA6  不，反過來說，
0x000CB6  你也是比任何人都要幸福的人呀。
0x000CD6  嗯嗯。
0x000CDE  哈哈∼
0x000CE6  竟然讓這些孩子們敬愛你到這個程度，
0x000D0A  你究竟是下了多少工夫呢？
0x000D24  …………
0x000D2E  算了，沒關係。
0x000D3E  我傑萊特•羅弗利可是抱著有恩必報的原則。
0x000D68  對你是這樣，對賢者圓桌也是。
0x000D86  羅弗利。
0x000D90  好啦，什麼小事情都可以交給我辦啦。
0x000DB4  不管什麼都好，只要你說，我就做到。
0x000DD8  嗯嗯。
0x000DE0  …………
0x000DEA  倒是，我說這位兄弟呀。
0x000E08  你到底什麼時候才準備放我出來啊？
