0x001A10  唉呀唉呀，這不是露弗鐸可勞家的千金嗎。
0x001A38  能夠見到妳真是榮幸之至呀。
0x001A54  自從您加入了不動的橋墩葛斯貝布洛以後，
0x001A7C  我就一直認為您總有一天會有所作為。
0x001AA0  雖然現在您只是代理職務，
0x001ABA  卻已經身為四大學級之一的統帥。
0x001ADA  首先，我得在此對您致上最誠懇的祝賀。
0x001B00  …………
0x001B0A  綻放在伊諾森提雅頂端的白銀薔薇─
0x001B2C  帕彌菈•露弗鐸可勞呀。
0x001B44  這是我們第一次在正式場合下見面吧。
0x001B68  似乎真的是這樣呢，希里鄔司•謬斯殿下。
0x001B90  您在羅亞爾•聖提的英勇事蹟，
0x001BAE  我早已有所耳聞了。
0x001BC2  這可真是不敢當。
0x001BD4  在撤退的時候，您幫助我們斷後的恩情，
0x001BFA  我永遠不會忘記。
0x001C0C  那可真是一場激烈的戰鬥呀。
0x001C28  如果沒有聖瑟維艾斯的援助，
0x001C44  葛斯貝布洛的命脈，
0x001C58  也許就要在那裡斷絕了也說不定。
0x001C78  …………
0x001C82  雖然我也曾經想過，
0x001C96  或許就在那時候被毀滅了也好……
0x001CB6  …………
0x001CC0  對我們純潔之盾來說，或許也是如此吧，
0x001CE6  殿下。
0x001CEE  喔……？
0x001CF8  …………
0x001D02  ……那麼，我想我就不用再避諱什麼了吧？
0x001D2A  …………
0x001D34  像妳這樣聰明的人，應該可以瞭解啊。
0x001D58  在這分秒必爭的危急時刻，
0x001D72  是不能再浪費任何時間了。
0x001D8C  如果妳有那個空閒去照顧這些孩子們的話，
0x001DB4  不如就轉而加入葛斯貝布洛吧。
0x001DD2  妳的力量，只有在葛斯貝布洛才能真正發揮。
0x001DFC  可惜呀。
0x001E06  妳那美麗而高貴的雙手，
0x001E1E  竟然要在這荒涼的大地上受盡苦勞。
0x001E40  承蒙您這麼抬舉，真是令人不勝欣喜。
0x001E64  三年前，失去了「劍將」奧吉爾•維因哈特，
0x001E8E  現在連「司法」羅沙麗亞•奧笛納也離開了。
0x001EB8  …………
0x001EC2  就算妳身為露弗鐸可勞的千金，
0x001EE0  可是只有一個人，又能有什麼作為呢？
0x001F04  那麼，就算只有妳能理解也好，
0x001F22  至少就接受我們為各位憂慮的心意吧……？
0x001F4A  那麼，可以請您解釋一下先前送來的信，
0x001F70  所想表達的是什麼意思嗎？
0x001F8A  能夠如願地見到妳，
0x001F9E  就表示那封信的任務已經達成了。
0x001FBE  …………
0x001FC8  如果能夠得到妳的幫助的話，
0x001FE4  現在就可以讓妳坐上四大天王的寶座。
0x002008  真是令我感到榮幸呀。
0x00201E  這個自然。
0x00202A  然而，殿下。
0x002038  在現在的純潔之盾裡，
0x00204E  有從聖瑟維艾斯加入的法娜•修貝流士。
0x002074  也有從不動的橋墩來到這裡的艾爾雪•貝爾薩
0x0020A2  …………
0x0020AC  有著雖然還不成熟，
0x0020C0  卻正在穩定成長的孩子們。
0x0020DA  總之……
0x0020E4  那就是說，
0x0020F0  你們收容了許多流著招致混沌之血的聖瑟維艾
0x00211A  斯餘孽嘛。
0x002126  …………
0x002130  如果純潔之盾還為了愛爾梅納斯著想的話。
0x002158  不是應該認清他們那引發混沌的血脈，
0x00217C  並且給他們應得的懲戒嗎？
0x002196  您是說，要我們眼睜睜地看著他們受苦嗎？
0x0021BE  是的。
0x0021C6  難道，妳打算繼續庇護混沌的同黨嗎。
0x0021EA  純潔之盾無法認同這種事情。
0x002206  聖瑟維艾斯所遭受的冤情，
0x002220  就由我們來洗雪。
0x002232  就算那是賢者圓桌所下的判決也好？
0x002254  就算是賢者，也只不過是人而已。
0x002274  是人就有可能會出錯不是嗎？
0x002290  要是我們連那些賢者的決定都不遵從的話，
0x0022B8  又該要遵從些什麼呢！！
0x0022D0  …………
0x0022DA  那就遵從自己心中的信念吧。
0x0022F6  愚蠢。
0x0022FE  我是這樣地被教導的。
0x002314  ……和您的想法似乎不太一樣呢。
0x002334  ……也就是說，你們要反抗賢者圓桌囉？
0x00235A  就憑你們這些只能緬懷過去光榮的，
0x00237C  可悲的伊諾森提雅！？
0x002392  就憑這些毫無能力可言的孩子們！？
0x0023B4  ……如果大樹會去嘲笑樹苗的矮小的話，
0x0023DA  那麼殿下，
0x0023E6  也許你現在做的事情就是對的吧。
0x002406  確實，在充滿陽光的溫室裡所培育的鮮綠，
0x00242E  是十分地美麗。
0x00243E  …………
0x002448  然而，只有在這荒涼的大地上，
0x002466  為了吸收水分，堅忍地努力紮根向下，
0x00248A  才會結出豐美的果實。
0x0024A0  然而，究竟哪一種才能支撐這愛爾梅納斯呢？
0x0024CA  這誰也不能確定。
0x0024DC  …………
0x0024E6  總有一天，在不遠的將來，
0x002500  那些孩子們將會碰到不得不低頭的難關。
0x002526  而在那樣的時候，
0x002538  請至少注意不要讓他們那高傲揚起的鼻子，
0x002560  重重地摔在自己的膝前。
0x002578  妳現在……
0x002584  正在愚弄我希里鄔司•謬斯嗎？
0x0025A2  我並不敢如此冒犯殿下。
0x0025BA  如果您認為我所說的話另有所指，
0x0025DA  那麼就算是您要立刻把我的舌頭給拔下來，
0x002602  我也毫無怨言。
0x002612  白銀的薔薇，帕彌菈•露弗鐸可勞！！
0x002636  堅持要庇護混沌的愚蠢女人呀！！
0x002656  難道妳的意思是，
0x002668  你們絲毫也不想拯救愛爾梅納斯嗎！！！
0x00268E  …………
0x002698  原來這就是純潔之盾所希望的嗎！！
0x0026BA  寧可要守護那令人忌恨的混沌，
0x0026D8  而讓自己的故鄉毀滅嗎！！！
0x0026FC  那些無處可以容身……
0x002712  連想在冰冷的雨中找一塊屋簷遮蔽，
0x002734  都沒有辦法的孩子，又該怎麼辦？
0x002754  …………
0x00275E  是的，我們純潔之盾現在還很弱小，
0x002780  的確是很脆弱。
0x002790  現在，就算你的劍僅是稍稍地揮動一下也好，
0x0027BA  那脆弱的羽翼就連掙扎的空間都將沒有了呀！
0x0027E4  …………
0x0027EE  無論是什麼人也好，
0x002802  當然都會想要守護自己的故鄉。
0x002820  然而，連那倒在眼前痛苦喘息的幼小生命，
0x002848  都可以見死不救……
0x00285C  這樣又怎麼有可能拯救愛爾梅納斯呢……！
0x002884  …………
0x00288E  你瞭解了嗎？
0x00289C  那些孩子們，
0x0028AA  是以自己的意志選擇加入純潔之盾的。
0x0028CE  就算必須在痛苦中匍伏，也要在地上掙扎著前
0x0028F8  進。而你不但不能體會那些孩子們的心情，
0x002920  反而還要指責這些同在學舍中求學、
0x002942  無可替代的同伴們是混沌的爪牙嗎？
0x002964  他們的覺悟與思念之深重……
0x002980  你這一輩子都沒有辦法趕上的！！！
0x0029A2  …………
0x0029AC  …………
0x0029B6  也許可以算是你幸運吧，
0x0029CE  那些幼小的孩子們現在並不在這裡。
0x0029F0  如果他們全部都在場的話……
0x002A0C  不要以為從你那高傲的口中，
0x002A28  還能說出要我們「臣服於不動的四天王之下」
0x002A52  的妄言哪！
0x002A5E  你可千萬別忘記呀。
0x002A72  …………
0x002A7C  請容我告退。
0x002A8A  …………
0x002A94  純潔之盾還真的是有很優秀的支柱呀。
0x002AB8  殿下……
0x002AC2  ……那我們就遵從賢者圓桌的命令吧。
0x002AEE  討伐伊諾森提雅。
0x002B00  ……那就趕快通知大家吧。
0x002B1A  加德摩斯。
0x002B26  只要帶著四大天王一起就好了。
0x002B44  可是那……
0x002B50  難道你認為我們會輸嗎？
0x002B68  ……那也並不是不可能的。
0x002B82  就算我們在數量上有壓倒性的優勢，
