0x000842  帕彌菈。
0x00084C  葛斯貝布洛，果然還是……
0x000866  妳聽說啦？
0x000872  「儘快投降！
0x000880  否則將會毫不留情地攻擊你們。」是吧？
0x0008A6  真是充滿威脅口氣的話呢。
0x0008C0  ……雖然都已經到了這種地步，
0x0008DE  不過還是有一些值得深思的事情。
0x0008FE  希里鄔司•謬思所說的話，
0x000918  也並非完全沒有道理呀。
0x000930  帕彌菈……？
0x00093E  稍微不注意就會忘掉了吧。
0x000958  他也曾經說過，
0x000968  不要讓幼小的孩子們做太勉強的事情呀。
0x00098E  的確呢。
0x000998  瑟希莉絲、凱洛特、伊里安、或者是奎絲忒跟
0x0009CA  雖然大家都覺得很辛苦，
0x0009E2  但還都非常地努力呢……
0x0009FA  ……妳也是啊，跟以前比起來，
0x000A18  比較少隨便亂說話了吧，法娜？
0x000A36  沒錯，一旦想到了純潔之盾，
0x000A52  就會想要把那些話吞回去啦∼
0x000A6E  不過呢，這感覺也並不像是在忍耐呢，
0x000A92  真是有點不可思議。
0x000AA6  …………
0x000AB0  不過，這件事情如果換個角度來看，
0x000AD2  就好像是本來無法克制衝動的行為，
0x000AF4  卻一百八十度變成了積壓不滿在心裡嘛。
0x000B1A  呃，不管是偏向哪一邊，實在都很糟糕呢。
0x000B42  呵呵……
0x000B4C  呵，笨欸妳，帕彌菈。
0x000B62  不用太擔心我的情況啦。
0x000B7A  我的心裡可是有「重建聖瑟維艾斯」的這個信
0x000BA4  念在支持呀。
0x000BB2  法娜……
0x000BBC  不過，那些孩子們的心性，
0x000BD6  也都還沒有定下來吧？
0x000BEC  所以帕彌菈要以他們的事情為第一優先，
0x000C12  好好地去支持他們。
0x000C26  嗯嗯，也是……
0x000C36  謝謝妳。
0x000C56  如果，如果我發生了什麼意外的話……
0x000C7A  那時候就要拜託妳了……
0x000C92  …………
0x000C9C  我希望能請妳代替我照顧他們……
0x000CBC  在那些孩子們能夠自己一個人獨立之前。
0x000CE2  帕彌菈？
0x000CEC  …………
0x000CF6  我從來都不認為妳有可能會出什麼意外。
0x000D1C  呼呼，所以呢，
0x000D2C  我是不接受這種不確定的請求的。
0x000D4C  ……謝謝妳，法娜。
0x000D60  有妳在我身邊，真是太好了。
0x000D7C  好啦。
0x000D84  這樣，既然帕彌菈的心情變得比較好了。
0x000DAA  那也就是說，妳欠了我一次人情囉。
0x000DCC  呵呵。
0x000DD4  呵呵。
0x000DDC  妳可要時時注意，別忘了要還我這份恩情啊。
0x000E06  嗯嗯。
