0x000B40  無論是贏了也好，輸了也罷，
0x000B5C  那種事情其實怎麼樣都沒有關係。
0x000B7C  ……殿下。
0x000B88  但是我在戰鬥結束之後，看到了那樣的表情。
0x000BB2  歡笑的人們，表情是這麼地清澈而晴朗。
0x000BD8  流淚的人們，則是全身發顫，咬牙切齒。
0x000BFE  像那樣的笑容與淚水，
0x000C14  我究竟是從什麼時候開始忘記的呢？
0x000C36  …………
0x000C40  對於學習魔法半途而廢的我，
0x000C5C  只是靠著自己與生俱來的才能，
0x000C7A  總是被人尊稱著殿下殿下的，
0x000C96  不知道什麼時候開始變成這種妄自尊大的人。
0x000CC0  如果沒有讓信念在心中燃燒，
0x000CDC  就會不知不覺間失去了自我，
0x000CF8  就連自己曾經喜歡的事物都忘記了。
0x000D1A  我竟然還曾經這麼地輕視純潔之盾，
0x000D3C  以為那只不過是一群可憐的孤兒。
0x000D5C  看來，我可能真的是個笨蛋呢。
0x000D7A  不但做事違背常理又缺乏考慮，
0x000D98  所以才會把事情搞到這種地步嘛。
0x000DB8  然而，現在回想起來。
0x000DCE  究竟是什麼時候，
0x000DE0  竟然把當初到愛爾梅納斯求學的心意給……
0x000E08  那一心想要成為賢者，
0x000E1E  以及那毫不認輸的幹勁啊。
0x000E38  …………
0x000E42  如果可以的話……
0x000E54  我也想和純潔之盾一起努力。
0x000E70  難道您要捨棄葛斯貝布洛，
0x000E8A  甚至連謬斯大公家的身分都要放棄嗎？
0x000EAE  …………
0x000EC0  …………
0x000ECA  比起順從帕蘭達因的話，這樣是好多了。
0x000EF0  那麼，賢者圓桌的命令又該怎麼辦呢？
0x000F14  葛斯貝布洛是是依附道義而生存的。
0x000F36  我們必須打敗純潔之盾，
0x000F4E  然後把他們押送到眺望萬物的尖塔。
0x000F70  不能不這樣做呀。
0x000F82  殿下！
0x000F8A  如果違反了賢者圓桌的意志，就是不義呀！
0x000FB2  無論我們要如何地委屈自己！！！
0x000FD2  ……也不可以做出不義的行為呀！！
0x000FF4  那麼，只要把那為義而生的名份捨去，
0x001018  進入純潔之盾再度求學就好了。
0x001036  ……我對您想要拯救聖瑟維艾斯的心意，
0x00105C  完全沒有反對的意思。
0x001072  而且我也不是完全認同修奈鐸先生的做法。
0x00109A  …………
0x0010A4  如果說到要戰鬥的話，
0x0010BA  我願意投入我的全部生命去努力。
0x0010DA  但是！！
0x0010E4  竟然要我捨棄從祖先傳下來的葛斯貝布洛之名
0x00110E  ，這世上沒有比這更嚴重的屈辱了！！
0x001132  …………
0x00113C  你曾經說一切都要聽我的安排，
0x00115A  難道是騙我的嗎？
0x00116C  …………
0x001176  為義而生的不動的橋墩，
0x00118E  那才是應該埋葬我這把老骨頭的地方。
0x0011B2  大家也都是這樣想的？
0x0011C8  …………
0x0011D2  …………
0x0011DC  …………
0x0011E6  …………
0x0011F0  …………
0x0011FA  那麼，就算只有一個人也好，
0x001216  我也要加入純潔之盾……
0x00122E  殿下……！！！
0x00123E  聽好了。
0x001248  不管那威光有多麼耀眼，
0x001260  只靠著名號是無法洗清混沌的呀。
0x001286  不動的橋墩所象徵的，
0x00129C  對我們來說究竟是什麼？
0x0012B4  …………
0x0012BE  ……那是高潔的操守。
0x0012D4  嗯嗯。
0x0012DC  …………
0x0012E6  如果有一天，以賢者的身分生活的時候……
0x00130E  有時化作溝通的橋樑，讓人們攜手合作，
0x001334  有時則成為分隔爭鬥的高牆。
0x001350  而此時，
0x00135A  奉行著葛斯貝布洛道義的人們則要……
0x00137E  成為那融合互相鬥爭的人們之間的橋樑。
0x0013A4  有人曾經這樣告訴我，
0x0013BA  而我也想這樣地去生活。
0x0013D2  殿下……
0x0013DC  …………
0x0013E6  那麼希里鄔司……
0x0013F8  此後，我們不會再稱呼您殿下了。
0x00141C  …………
0x001426  …………
0x001430  …………
0x00143A  希里鄔司，我們高貴的朋友啊。
0x001458  在頑固的葛斯貝布洛裡，
0x001470  人們對你信任的程度就如同對你效忠一般，
0x001498  年輕的朋友呀。
0x0014AC  請您就走向您所相信的道路吧。
0x0014CA  派洛斯……
0x0014D6  …………
0x0014E0  我並不是一個稱職的領導者。
0x0014FC  總是任性而又更加任性地給各位添麻煩……
0x001524  就算如此，
0x001530  在離別的時刻，
0x001540  你們也願意給我這麼高的尊重嗎……
0x001562  …………
0x00156C  謝謝你們……
0x00157A  …………
