0x000836  你是……
0x000840  希里鄔司•謬斯……
0x000854  雖然流著貴族的血，但我不想繼續墮落。
0x00087A  所以，我來到了愛爾梅納斯。
0x000896  然而，雖然是為了這樣的理由而來。
0x0008B8  結果卻只是滿足於身為貴族，而被其他人尊敬
0x0008E2  的虛榮感，早已忘記了自己的信念。
0x000904  …………
0x00090E  ……我已經覺悟了。
0x000922  我想要活出真正的自己。
0x00093A  無論是怎樣的虛名也好，我都不再需要了。
0x000962  我想要在這裡繼續前進，跟大家一起。
0x000986  不僅是葛斯貝布洛……
0x00099C  連貝爾鐸可勞的名字你都要捨棄了嗎？
0x0009C0  純潔之盾的各位，不會偽裝自己。
0x0009E0  與你們交手之後，我確認了這一點。
0x000A02  雖然對你們感到抱歉，然而我確實瞭解了。
0x000A2A  希里鄔司。
0x000A36  你究竟在追求著些什麼？
0x000A4E  ……我想變成那樣。
0x000A62  如果世上有互相敵對的人們存在的話，
0x000A86  我希望可以成為化雙方干戈為玉帛的橋樑。
0x000AAE  …………
0x000AB8  在生命消逝的那一瞬間，
0x000AD0  無論是勝利或者是失敗，
0x000AE8  那都只是浮世的夢幻泡影。
0x000B02  而在這與微塵一般沒有意義的世界裡，
0x000B26  會迷失自己也是有可能的。
0x000B40  總是以不動的心觀照自身，
0x000B5A  而忘記了要燃燒自己的信念的話，
0x000B7A  就會連自己想要來愛爾梅納斯的理由也忘記了
0x000BA8  …………
0x000BB2  如果有一天，能夠以賢者的身分生活的話……
0x000BDC  有時化作溝通的橋樑，讓人們攜手合作，
0x000C02  有時則成為分隔爭鬥的高牆。
0x000C24  而此時，
0x000C2E  奉行著葛斯貝布洛道義的人們，則要……
0x000C54  成為那融合互相鬥爭的人們之間的橋樑，
0x000C7A  就像有人曾經這樣教導我的一樣。
0x000C9A  我希望能夠變成那樣。
0x000CB0  …………
0x000CBA  …………
0x000CC4  所以，我才會來到這裡。
0x000CDC  我現在只想以一個想成為賢者的學生的身分，
0x000D06  在這裡學習。
0x000D14  我也想變成純潔之盾的一份子呀。
0x000D34  之前真是諸多冒犯了。
0x000D4A  那是為了確定你們的心意，真是抱歉。
0x000D6E  只是光有信念是沒辦法繼續前進的。
0x000D90  ……希里鄔司•謬斯。
0x000DA6  自由是以責任為名的「字」。
0x000DC2  你能瞭解吧？
0x000DD0  ……是的。
0x000DDC  …………
0x000DE6  …………
0x000DF0  …………
0x000DFA  ……老師？
0x000E06  以你自己的信念為中心，
0x000E1E  你將會見到嶄新的道路。
0x000E36  …………
0x000E40  能夠隨遇而安的話，隨處皆可修行……
0x000E64  雖然我那粗俗的老師絲毫不懂得魔法。
0x000E88  不，也就是因為這樣……
0x000EA0  我才會相信布拉奇•巴圖所說的話。
0x000EC2  這樣不是很好嗎，希里鄔司•謬斯。
0x000EE4  歡迎你來到純潔之盾，
0x000EFA  在這裡，要怎樣繼續前進，
0x000F14  那就是你自己要決定的事情了。
0x000F32  是的……！
