0x00021E  完成　堅守艾爾貝洛瓦
0x000234  完成　收復安蒂米昂
0x000248  １　守衛安蒂米昂
0x00025A  ２　聖者的墳墓－躲呀躲呀大會
0x000278  （ＡＬＴ限制、一旦死亡就出局、沒有時間限
0x0002A2  制、所得到的寶物會隨著人數多寡而不同。）
0x0002CC  如果只有一個人參加的話，報酬會增加。
0x0002F2  （因為有ＡＬＴ限制，所以只派一個人的話，
0x00031C  困難度會增加許多。）
0x000332  ３　愛爾梅納斯大美術館－鬧鬼作戰
0x000354  （不能ＡＬＴ就出局，死亡也出局，沒有時間
0x00037E  限制，所得到的寶物會隨人數多寡而不同。）
0x0003A8  如果只有一個人參加的話，報酬會增加。
0x0003CE  （有安全地點，高低差大。）
0x0003EA  ……光是這些，就已經有一部分很困難了，
0x000412  接下來更是……
0x000422  ４　歌詠星辰的天蓋
0x000436  搶先抵達終點式─衝呀衝大會
0x000452  （ＡＬＴ限制，死了之後可以復活，沒有時間
0x00047C  限制。）
0x000486  總之，就努力一直往前衝吧，高低差會很大。
0x0004B0  ５　迷失之森
0x0004BE  鬧鬼作戰－逃呀逃大會
0x0004D4  （死了就出局，沒有時間限制）
0x0004F2  總之咧，儘量跑來跑去會比較好。
0x000512  （沒有安全地點）
0x000524  ６　炎之谷
0x000530  有任務時間限制，裡面可以走多遠呢？
0x000554  ……就像以上敘述的，
0x00056A  有各式各樣挑戰系的劇情關卡可以選擇！
0x000590  就是這樣。
