0x000BA8  你，好像很喜歡自己一個人獨處嘛。
0x000BCA  夏朧•佛洛斯蘋……
0x000BDE  我也喜歡自己一個人獨處。
0x000BF8  所以，當我想一個人獨處的時候，
0x000C18  如果有人來到我身邊的話，
0x000C32  會讓我感覺有點煩悶。
0x000C48  …………
0x000C52  然而，雖然我通常是這麼想，
0x000C6E  有時候，卻也會希望有人能夠來跟我說話。
0x000C96  我真是個自私的人呀。
0x000CAC  雖然我不知道你是不是也是這樣。
0x000CCC  ……當我來到這白皙城砦的時候，
0x000CEC  我曾這麼想：
0x000CFA  只是自私地因為喜歡伊諾森提雅，
0x000D1A  所以才加入這裡的我，
0x000D30  大家連一句話都沒有責怪過呢。
0x000D4E  …………
0x000D58  如果我是妳的話，就算只說一兩句也好，
0x000D7E  多少總是會責難一下的吧。
0x000D98  不，在那之前，
0x000DA8  說不定根本不會接受像我這樣的人呢。
0x000DCC  ……大家都已經是同伴了，
0x000DE6  還說這樣的話，那不就更難開始了嗎。
0x000E0A  純潔之盾就是純潔之盾。
0x000E22  「真的這樣就好了嗎？」
0x000E3A  雖然我一開始也曾經這樣懷疑過。
0x000E5A  …………
0x000E6A  究竟是……
0x000E76  能夠說出這樣的話的妳，實在了不起呢……
0x000E9E  …………
0x000EA8  還是，是讓人說出了這句話的純潔之盾，
0x000ECE  實在了不起呢？
0x000EDE  到底是怎樣呢？
0x000EEE  我想，那一定不是因為我的關係。
0x000F0E  …………
0x000F18  …………
0x000F22  我啊，拋棄了那曾經照顧我的葛斯貝布洛。
0x000F4A  這樣啊。
0x000F54  也曾經對純潔之盾做了很過分的事情。
0x000F78  這我不否認。
0x000F86  可是就算是這樣，我卻還是被收容了。
0x000FAA  所以我們才能像現在這樣地交談呀。
0x000FCC  …………
0x000FD6  「變得很憧憬純潔之盾的一切，
0x000FF4  而希望像這樣地在這裡生活下去……」
0x001018  我很快就發現了我自己有這樣的想法。
0x00103C  …………
0x001046  就因為我知道這裡對我來說很重要……
0x00106A  所以我不想再因為我的任性，
0x001086  而給大家添麻煩。
0x001098  …………
0x0010A2  沒錯，就是這樣……
0x0010B6  我從來沒有想過竟然會有這樣的感覺。
0x0010DA  我也絕對不想失去這樣的感覺。
0x0010F8  …………
0x001102  …………
0x00110C  ……我也是。
0x00111A  剛來這裡的時候，我也是這麼想。
0x00113A  而凱洛特幫助我想通了這件事。
0x001158  老老師也是、帕彌菈學姊也是、法娜學姊也是
0x001182  ，大家都幫了我不少的忙。
0x00119C  妳……？
0x0011A6  「希望能夠帶給大家笑容。
0x0011C0  就算會惹人生氣，
0x0011D2  或是讓人流淚的事情也沒關係。」
0x0011F2  凱洛特曾經這樣對我說。
0x00120A  …………
0x001214  而她也曾經說過，為了要完成這個心願，
0x00123A  就得要好好地照著自己的願望去做。
0x00125C  她說，只要做到能夠讓思念不受拘束地，
0x001282  從心底被實現的程度就好了。
0x00129E  那個時候的我，並不是很瞭解……
0x0012BE  不過，現在其實也不太瞭解就是了。
0x0012E0  …………
0x0012EA  只要像自己想的一樣去做就好了。
0x00130A  而且，大家也都希望能多多瞭解希里鄔司這個
0x00133C  同時，大家也都希望能多讓希里鄔司瞭解……
0x001366  希望讓你瞭解到，
0x001378  這裡是一個多麼美好的地方。
0x001394  ……所以我才不希望這裡遭到破壞呀。
0x0013B8  你的存在，真的會讓這裡被破壞嗎？
0x0013DA  ……嗯？
0x0013E4  如果不試試看的話，又怎麼會知道呢？
0x001408  只要照你希望的去做，那就可以了。
0x001430  大概，吧。
0x00143C  如果就照著自己所想的去做看看，
0x00145C  也許就會發現些什麼從來都沒注意過的事情也
0x001486  說不定。
0x001490  我現在也可以這樣地告訴別人了。
0x0014B0  …………
0x0014BA  …………
0x0014C4  夏朧•佛洛斯蘋。
0x0014DC  今天所發生的這些事情，
0x0014F4  我會好好記住的。
0x001506  嗯嗯。
0x00150E  從今以後，我大概也忘不了吧。
0x001530  在妳的心目中，
0x001540  純潔之盾的地位是多麼地重要。
0x001564  我也不會忘記的。
0x001576  在你心中的這種想法呀。
