0x001348  這的確是一座非常漂亮的城堡呀。
0x001368  ……紐•普勞迪斯。
0x00137C  我特地來一趟呢。
0x00138E  因為我想弄清楚一些事情。
0x0013A8  什麼？
0x0013B0  你們純潔之盾是不是真的決定要這樣做啊。
0x0013D8  不僅要反抗賢者圓桌的命令，
0x0013F4  還打算和我們帕蘭達因交手是嗎？
0x001414  …………
0x001426  我會好好地教訓你們的。
0x00143E  讓你們瞭解你們對我們的挑戰，
0x00145C  是多麼地愚蠢而無謀。
0x001472  讓你們瞭解你們所能做的努力，
0x001490  是多麼多麼地微不足道，知道嗎。
0x0014B6  凱洛特……
0x0014C2  ……我只有一件事情要問你。
0x0014DE  在攻陷聖瑟維艾斯的戰鬥中，
0x0014FA  你這傢伙有參與嗎？
0x00150E  ……當然。
0x00151A  我可是痛宰了不少人呢。
0x001532  像是席菈呀，艾蕾呀，很多很多。
0x001558  他們都搞不清楚自己的實力，
0x001574  根本就是一邊用很可愛的聲音叫喊著，
0x001598  一邊如同螳臂擋車般地抵抗呢。
0x0015B6  …………
0x0015C0  …………
0x0015CA  這麼一說，這裡的各位，
0x0015E2  真的是尊貴的四大學級成員嗎？
0x001600  長相看起來都很青澀呢。
0x001618  …………
0x001622  雖然曾經聽說過，
0x001634  這裡有一位溫柔而且極富智慧的白銀薔薇。
0x00165C  但是怎麼會這麼殘忍呢。
0x001674  竟然要讓這樣的大小姐也參與戰鬥呀？
0x001698  …………
0x0016A2  雖然這麼說，不，
0x0016B4  應該說真不愧是帕彌菈•露弗鐸可勞呀。
0x0016DA  聖瑟維艾斯的法娜、
0x0016EE  葛斯貝布洛的希里鄔司、
0x001706  還有去哪裡都沒辦法好好待著的艾爾雪。
0x00172C  有著這樣美貌的外表，
0x001742  還真是什麼樣的獵物都有辦法掠取呢。
0x001766  ……道歉。
0x001776  向帕彌菈學姊道歉……！
0x00178E  ……自己的事情沒能力好好處理，
0x0017AE  所以就逞一時口舌之快是吧。
0x0017CA  快道歉……！
0x0017D8  …………
0x0017E2  …………
0x0017EC  不用道歉了。
0x0017FA  …………
0x001804  就算現在你向我們道歉，
0x00181C  對我們雙方都沒有意義。
0x001834  艾爾雪學姊……？
0x001846  伊里安，要搞清楚呀。
0x00185C  與帕蘭達因的決戰，還要等到以後呀。
0x001880  …………
0x00188A  …………
0x001894  …………
0x00189E  知道了吧，別以為事情這樣就可以結束了，
0x0018C6  紐•普勞迪斯。
0x0018D6  …………
0x0018E0  希里鄔司•謬斯。
0x0018F2  我還真是驚訝呢。
0x001904  你有這麼傑出的才能，
0x00191A  為什麼要選擇加入純潔之盾呢。
0x001938  就像這裡的所有人一樣，
0x001950  因為我也愛著純潔之盾呀。
0x00196A  我想你是不會懂的吧，紐。
0x001984  對你們這些總是自以為是、
0x00199E  甚至是絲毫不可能被改變的帕蘭達因來說。
0x0019C6  你的意思是說，
0x0019D6  純潔之盾認為帕蘭達因的做法是錯的嗎？
0x0019FC  你應該可以瞭解的。
0x001A10  帕蘭達因，是正確的。
0x001A2C  但是同樣地，
0x001A3A  沉睡在純潔之盾裡的想法，也有它的道理。
0x001A62  ……真是不可思議。
0x001A76  這時候腦中竟然會浮現聖瑟維艾斯的教條。
0x001A9E  那召喚了混沌的聖瑟維艾斯，
0x001ABA  竟然連你也迷惑了嗎……希里鄔司•謬斯。
0x001AE2  好吧，那你就聽好了。
0x001AF8  …………
0x001B02  你總是輕蔑那些不照你指示去走的人，
0x001B26  這是你不肯打開心胸的愚昧。
0x001B42  就算對上天，
0x001B50  也可以用那陰沉而懷有惡意的言語去批評，
0x001B78  這是你擁有用讒言貶低他人的口舌的卑劣。
0x001BA0  簡直就像以前的我呢。
0x001BB6  沒關係，總有一天你會瞭解的。
0x001BD4  當你愚蠢地否定的對手，在你劍下斷氣，
0x001BFA  倒臥在那冰冷地面上的時候……！
0x001C1A  …………
0x001C24  在那個時候，所留下來的又是什麼？
0x001C46  以自己的手討伐了所有的敵人之後，
0x001C68  在你我手中獲得的，又是什麼？
0x001C86  …………
0x001C90  總有一天，你會發覺的吧。
0x001CAA  當你撥開那跪倒在地上的人的面具時，
0x001CCE  你會發現那不是其他任何人，
0x001CEA  而是你自己呀……！
0x001CFE  …………
0x001D08  …………
0x001D12  我會記住你說的話。
0x001D26  ……然而，究竟誰才是對的呢？
0x001D44  那將會來臨的答案，已經不遠了。
0x001D64  在那決定的時刻來臨之前，
0x001D7E  就盡你所能的去期待吧。
0x001D96  嗯嗯，我正打算這麼做呢。
0x001DB0  你總有一天會被他報復的呢，
0x001DCC  希里鄔司。
0x001DD8  如果能夠把我的想法傳達給他，
0x001DF6  那我也沒有遺憾了。北壁的雪花呀。
0x001E18  完成了心願而死，
0x001E2A  或是沒能完成心願含恨而終，
0x001E46  如果是妳的話，會選擇哪一種？
0x001E64  …………
