0x0015BC  妳，現在還在害怕報仇的事情嗎？
0x0015DC  妳是……
0x0015E6  看來妳記得我嘛，立誓要復仇的少女呀。
0x00160C  …………
0x001616  不可以放棄呀。
0x001626  仇人都已經出現在面前了，妳還在遲疑什麼？
0x001650  妳在說什麼呀……
0x001662  我應該有跟妳說過。
0x001676  如果妳忘記了自己的誓言，
0x001690  而原諒了妳的仇人的話，
0x0016A8  妳自己就會被那混沌的誓言所吞噬。
0x0016CA  妳不要越說越離譜了！！
0x0016E2  這裡才沒有我的仇人呢！！
0x0016FC  難道妳忘記了嗎，
0x00170E  忘記了那一片悽涼的雪原？
0x001728  別說妳已經忘記了。
0x00173C  就算妳說妳已經忘記了，
0x001754  我也不會相信的。
0x001766  …………
0x001770  我這個艾克貝斯的雪蜥蜴是不會相信的。
0x001796  絕對。
0x00179E  住口！！
0x0017A8  不要再說了！！！
0x0017BA  我已經決定要在這純潔之盾好好生活了！！
0x0017E2  然而，那是妳即將要失去的生活呀。
0x001804  教導我這麼多的老師……
0x00181C  彼此以朋友相稱的同伴……
0x001836  願意陪伴我的希里鄔司……
0x001850  這是支持我的大家庭……
0x001868  在這兩者之間，我沒有辦法抉擇呀……！！
0x001890  那麼，妳就只有墮入黑闇之中的這一條路了。
0x0018BA  我的確曾經想過一定要報仇雪恨。
0x0018DA  我對那些在故鄉逝去的人們的思念毫無虛假。
0x001904  同時我立誓復仇的決心也是千真萬確的。
0x00192A  但是……
0x001934  …………
0x00193E  碰見了凱洛特、認識了希里鄔司，
0x00195E  現在我被大家愛護著，在這個地方生活。
0x001984  就算如此，妳那幼小的心靈中，
0x0019A2  仍然感受得到那混沌的痛苦吧？
0x0019C0  嗯嗯，的確。
0x0019CE  所謂毫無希望被拯救的笨蛋，
0x0019EA  就是在說我這種人吧。
0x001A00  而我的命運，就是該到此結束了呀。
0x001A22  …………
0x001A2C  只要在最後的日子裡能得到安寧，
0x001A4C  我又有什麼其他可以要求的？
0x001A68  夏朧……？
0x001A74  妳怎麼了，夏朧？
0x001A86  夏朧！？
0x001A90  ……瑟希莉絲。
0x001AA0  羅沙麗亞學姊，妳，不會吧……！！
0x001AC2  妳做了什麼，妳對夏朧做了什麼！！！
0x001AE6  ……妳看起來成熟了不少呢。
0x001B02  像妳這樣的人哪……！！
0x001B1A  看來妳一直都很努力呢。
0x001B32  ……背叛了我們而跑到帕蘭達因的妳，
0x001B56  又怎麼會知道純潔之盾受到了多大的痛苦！！
0x001B80  …………
0x001B8A  然後妳現在還想要教唆夏朧做什麼事情嗎！？
0x001BB4  妳看看她，看起來這麼可憐，
0x001BD0  顫抖得這麼厲害……！！
0x001BE8  …………
0x001BF2  純潔之盾好不容易像今天這樣地，
0x001C12  漸漸壯大起來了。
0x001C24  妳為什麼要這麼做，
0x001C38  為什麼要破壞我們的生活呢？
0x001C54  …………
0x001C5E  我好恨哪……！
0x001C6E  為什麼，為什麼妳要把事情做得這麼絕，
0x001C94  為什麼……！！
0x001CA4  妳到底預見了什麼！？
0x001CBA  用妳那污穢骯髒的預知之眼，預見了什麼！？
0x001CE4  啊……
