0x000804  歡迎妳回來……
0x000814  我回來了……
0x000822  給你們添麻煩了呢。
0x000836  別這麼說。
0x000842  妳願意回來跟我們在一起，
0x00085C  真是感謝。
0x000868  ……瑟希莉絲呢？
0x00087A  她好像想自己一個人靜一靜。
0x000896  這樣啊……
0x0008A2  看來，我還是被討厭了呢。
0x0008BC  說不定那也表示妳並不喜歡她呢。
0x0008DC  ……抱歉。
0x0008E8  別在意，這種事情也是有可能會發生的嘛。
0x000910  ……呵。
0x00091A  …………
0x000924  妳回來了真好。
0x000934  …………
0x00093E  老師。
0x000946  …………
0x000950  …………
0x00095A  …………
0x000964  想要長久地在這裡住下去嗎？
0x000980  我正是這麼打算。
0x000992  這樣啊。
0x00099C  ……帕蘭達因的情況怎麼樣了？
0x0009BA  他們想要集齊十二王杯……
0x0009D4  用來驅除混沌。
0x0009E4  …………
0x0009EE  純潔之盾裡沒有王杯，真是不幸中的大幸。
0x000A16  所以帕蘭達因完全沒有把眼光放在這裡。
0x000A3C  恐怕「匍伏蔓延而來之物」的想法也是這樣。
0x000A66  …………
0x000A70  然而，王杯應該是在公平的競爭中，
0x000A92  從對手手上贏來的。
0x000AA6  若是用這種強取豪奪的方式……
0x000AC4  與純潔之盾也並不相稱。
0x000ADC  帕蘭達因他們……
0x000AEE  到底在計畫些什麼？
0x000B02  我從來也沒有想過，
0x000B16  黑衣的施咒者竟然會利用眺望萬物的尖塔。
0x000B3E  恐怕，他們現在正暗中監視著帕蘭達因吧。
0x000B66  …………
0x000B70  …………
0x000B7A  …………
0x000B84  妳是說……
0x000B90  他們現在正在等待偷襲帕蘭達因的機會？
0x000BB6  那的確與黑衣施咒者的鬼祟行徑很相稱呀。
0x000BDE  雖然這是紐•普勞迪斯所說的。
0x000BFC  …………
0x000C06  原來如此。
0x000C12  …………
0x000C1C  …………
0x000C26  …………
0x000C30  …………
0x000C3A  現在已經好晚了……
0x000C4E  兩位也早點休息吧。
0x000C62  是的。
0x000C6A  ……晚安。
0x000C76  …………
0x000C80  ……那麼，明早見了。
0x000C96  …………
0x000CA0  嗯嗯。
0x000CA8  晚安……
0x000CB2  《歡迎妳回來，
0x000CC2  　美麗的預知天使呀。
0x000CD8  　……希望妳能做個好夢。》
