0x000832  咕哇∼∼∼
0x00083E  …………
0x000848  怎麼了？
0x000852  為什麼妳會這麼喜歡泡澡呢？
0x00086E  我有點感興趣。
0x00087E  雖然是公主殿下，
0x000890  不過好像也沒有那麼注重外表嘛。
0x0008B0  我∼說∼呀∼
0x0008BE  「沐浴」，也可是重要的修行咧。
0x0008DE  那就當作是這樣吧。
0x0008F2  唔∼∼∼
0x0008FC  不過呢。
0x00090C  本來還在這裡的人，現在都不在了，
0x00092E  還真是寂寞呀。
0x00093E  唉∼呀∼
0x000948  因為有老師在、有帕彌菈學姊在，
0x000968  有老老師教導我們……
0x00097E  純潔之盾的一切，
0x000990  我原本以為都已經步上了正軌。
0x0009AE  …………
0x0009B8  但是仍然有一些小事情，
0x0009D0  一些不容易發現的事情。
0x0009E8  就像瑟希莉絲心中的不安，
0x000A02  就是我們沒有辦法輕易發現的。
0x000A20  …………
0x000A2A  也許那對預知能力的不安……正在萌芽。
0x000A50  正在刺痛著瑟希莉絲的心也說不定。
0x000A72  ……所以啦。
0x000A80  所以她才會離開的。
0x000A94  …………
0x000A9E  會這樣撒嬌的人，
0x000AB0  想要逃避現實也不是不可能的。
0x000ACE  但是呢……這樣也沒有什麼不好。
0x000AEE  至少比在撒嬌的時候，
0x000B04  儘管只有一點點也好。
0x000B1A  多少也進步了一點。
0x000B2E  那些曾經讓她依賴過的人，
0x000B48  一定也會感到很欣慰吧。
0x000B60  ……是呀。
0x000B6C  她的未來，一定會開出美麗的花朵……
0x000B90  嗯嗯，我也是這麼希望的。
0x000BAA  …………
0x000BB4  …………
0x000BBE  要起來了？
0x000BD0  ……這可真是稀奇了。
0x000BE6  瑟希莉絲正在努力著。
0x000BFC  我也想稍微再多努力一下。
0x000C16  這真是令人害怕呀。
0x000C2A  在這種簡直就要結冰∼的冷水浴裡面，
0x000C4E  為什麼還要忍耐下去咧？
0x000C66  ……經妳這麼一說，妳的嘴唇都已經紫了。
0x000C8E  我也再多陪妳待一會兒吧。
0x000CA8  因為只不過是想像一下，就已經很興奮了呢。
0x000CD6  會來溫柔包裹我冰冷的身體……
0x000CF4  會來幫忙我的……是老師嗎？
0x000D10  還是說……是艾爾雪呢？
0x000D28  …………
0x000D32  對吧？
0x000D3A  不管是哪一種情況，都讓人心跳加速對吧☆
0x000D62  別擔心。
0x000D6C  到時候我會好好地去溫暖妳的。
0x000D8A  真的！？
0x000D94  當然。
0x000D9C  就把妳丟進沸騰的溫泉裡啊。
