0x000916  瑟希莉絲呀，一定變得更堅強了呢……
0x00093A  這都是託妳的福呀。
0x00094E  如果沒有您在的話。
0x000962  我也只能疼愛著那些孩子們。
0x00097E  因為疼愛著他們，
0x000990  所以沒辦法使他們有這樣的進步。
0x0009B0  …………
0x0009BA  在這樣的過程中，
0x0009CC  那些孩子們的翅膀也已經長成了呢。
0x0009EE  …………
0x0009F8  若真的要感謝，也感謝不完呀。
0x000A16  不……
0x000A1E  抱歉，讓妳做這種扮黑臉的工作，
0x000A3E  真是辛苦妳了。
0x000A4E  您知道嗎？
0x000A5A  對他們說那些嚴格的話，是我的本分唷。
0x000A80  …………
0x000A8A  感謝妳的原諒。
0x000A9A  呵呵，您在說些什麼呀。
0x000AB2  好久沒有被人要求做些什麼事了，
0x000AD2  您指示我這樣做……
0x000AE6  我反而覺得開心呢。
0x000AFA  既然妳都這樣說了，那我就真的放心了。
0x000B20  無論是妳、還是奧吉爾也好，
0x000B3C  誰也不敢把羅沙麗亞心中真正的想法告訴她。
0x000B66  而在無意間讓她知道這些事情的我，
0x000B88  是不是做錯了呢，這讓我苦惱了一段時間呢。
0x000BB2  …………
0x000BBC  那麼，是因為奧爾菲老師的信嗎？
0x000BDC  不……
0x000BE4  …………
0x000BEE  只是……
0x000BF8  那個孩子……
0x000C06  曾經在深夜裡一個人跑來找我。
0x000C24  你是說瑟希莉絲？
0x000C36  她那澄澈的眼神當時非常黯淡，而且還哭了。
0x000C60  奧吉爾離開了，而且後來又與羅沙麗亞分別。
0x000C8A  因為他們兩個都拋棄了伊諾森提雅，
0x000CAC  讓她感覺這世界上再也沒有值得相信的事情，
0x000CD6  所以才大哭了一場。
0x000CEA  ……竟然有這種事。
0x000CFE  而且，她還為了不曾怪罪他們兩個人的妳，
0x000D26  感到哀傷。
0x000D32  …………
0x000D3C  就因為她非常地相信你們。
0x000D56  就因為她拼了命的想要跟隨你們的腳步。
0x000D7C  所以一旦失去了可以追隨的對象之後，
0x000DA0  要再度打起精神，幾乎是沒有辦法的。
0x000DC4  那種喪失了某種對自己很重要東西的失落感，
0x000DEE  大概不是她可以承受的吧。
0x000E08  …………
0x000E12  「可是，如果什麼都不做的話，
0x000E30  就不能拯救愛爾梅納斯。」
0x000E4A  那孩子就這麼一直鑽牛角尖地苦惱著，
0x000E6E  我沒辦法坐視不管。
0x000E82  所以我當時的想法是，
0x000E98  既然是我在教導她，那就告訴她吧，
0x000EBA  應該沒有關係的。
0x000ECC  …………
0x000ED6  之後，一切都進行得很順利。
0x000EF2  這都是因為大家平常都幫了不少的忙呀。
0x000F18  感謝大家，我覺得這樣真的是太好了。
0x000F3C  《老師已經注意到了呢……
0x000F56  　注意到了瑟希莉絲的心情。
0x000F72  　也注意到了羅沙麗亞的心情。》
0x000F92  …………
0x000F9C  《雖然我一向自以為是羅沙麗亞最好的朋友，
0x000FC6  　但是最後卻沒注意到她這樣的心情。》
0x000FEC  《瑟希莉絲所深信的羅沙麗亞，
0x00100A  　老師發現了她心中真正的想法嗎？
0x00102C  　既然老師這麼說，我想……就是真的了吧。
0x001056  　無論身為她好友的我如何去揣度，
0x001078  　也從來不認為自己有辦法理解。》
0x00109A  《想不到……老師的才智，
0x0010B4  　已經磨練到了這麼清明的地步了。
0x0010D6  　只不過曾經和羅沙麗亞因為道別而見過一面
0x001108  《和瑟希莉絲的師生關係，
0x001122  　也才只有短短的一段時間。
0x00113E  　在這麼短的時間裡，
0x001154  　就能感受到別人心中的想法嗎？》
0x001176  《所謂的明察秋毫，
0x00118A  　就是在形容這樣的觀察力嗎？》
0x0011AA  《這樣……我也稍微能理解羅沙麗亞為什麼要
0x0011D4  　把我留在這裡的原因了。
0x0011EE  　因為，在純潔之盾裡，
0x001206  　還有我可以學習的對象呀……》
0x001226  ……純潔之盾裡，迴響著您的教誨。
0x001248  現在，這真是讓我無限地欣喜。
0x001266  謝謝妳。
0x001270  我也要感謝妳……感謝妳待在這裡，
0x001292  讓那些孩子們可以有一個無可取代的榜樣去嚮
0x0012BC  往，有一個目標可以去努力。
0x0012D8  …………
0x0012E2  我想，是因為有妳在這個地方，
0x001300  所以那些孩子們才會進步。
0x00131A  ……真是榮幸。
0x00132A  這是個最能考驗個人價值的角色呢，
0x00134C  對我們兩個來說都是。
0x001362  ……一起好好加油吧。
0x001378  嗯嗯，我也正打算這樣做呢。
