0x00079E  《終於，孩子們覺醒的時刻到了嗎？
0x0007C0  　也許帕彌菈所希望的，
0x0007D8  　就是不要變成像今天這個樣子吧。》
0x0007FC  《而孩子們現在正獨自編織著那些問題的答案
0x00082E  父親大人……
0x00083C  我做了一個夢。
0x00084C  奎絲忒……
0x000858  在羅亞爾•聖提的中央，
0x000870  隱藏著孕育愛爾梅納斯生命的法燈。
0x000892  那個才是「匍伏蔓延而來之物」們的目標。
0x0008BA  …………
0x0008C4  愛爾梅納斯，
0x0008D2  是自古以來就一直受到保護的聖地。
0x0008F4  然而，
0x0008FC  無論愛爾梅納斯已經延續了多久的生命，
0x000922  現在也不可避免地遭受不治之症的侵襲。
0x000948  在那最深層的迷宮之中，
0x000960  延展的生命根源開始腐壞了，
0x00097C  而崩潰碎裂的瓦礫，正是那衰老的病徵。
0x0009A2  那些在這裡建立家園的賢者們的故事，
0x0009C6  還有他們來到這裡之前，
0x0009DE  所建立的豐功偉業……
0x0009F4  順著那微風的傳言而來的，
0x000A0E  是令人自豪、令人想要好好珍惜的過去。
0x000A34  這一點，
0x000A3E  對所有在愛爾梅納斯求學的孩子們來說，
0x000A64  都是一樣的。
0x000A72  但是那卻已經在不知不覺間漸漸改變了。
0x000A98  在學舍外頭的那些賢者們……
0x000AB4  是的，就像父親大人您一樣，
0x000AD0  都度過了不少辛苦的日子。
0x000AEA  就像在那古老的時代裡，當大家都能夠露出微
0x000B14  笑的時候，就表示一切都已經告一段落了。
0x000B3C  然而在這長久的混亂時代裡，
0x000B58  大家都感到疲勞，
0x000B6A  無論是誰，心靈都受到了矇蔽。
0x000B88  縱情歡笑的人們、在悲傷裡顫抖的人們、
0x000BAE  垂下眼睛不問世事的人們。
0x000BC8  「賢者閣下們都已經在這裡了，
0x000BE6  為什麼還是充滿了令人不快的事？」
0x000C08  憤怒的人們將矛頭指向賢者，
0x000C24  人們蔑視他們、辱罵他們。
0x000C3E  愛爾梅納斯為了這悲傷的結局，
0x000C5C  而開始淚眼婆娑、感到害怕，
0x000C78  並陷入了憂鬱之中。
0x000C8C  如果能夠做到的話，多麼希望能夠重拾信念。
0x000CB6  無論經歷多少次挫折也好，
0x000CD0  都希望自己能夠重拾信念。
0x000CEA  希望能夠好好培育那些，
0x000D02  擁有發自內心的熱情眼神的孩子們。
0x000D24  然而，在那緊閉的雙眼之下，
0x000D40  證明了這一切也只是虛幻的夢想。
0x000D60  自己再也不是被人們所重視的對象了。
0x000D84  「匍伏蔓延而來之物」，
0x000D9C  那正是愛爾梅納斯所患重症的名稱。
0x000DBE  身為賢者的故鄉，
0x000DD0  遠近馳名的和諧大地─愛爾梅納斯，
0x000DF2  也即將要面臨她的末日了。
0x000E0C  然而，曾經在這裡求學的孩子們，
0x000E2C  儘管數量稀少，卻仍然還生存著。
0x000E4C  那麼，至少為了這些孩子們而活，
0x000E6C  並拾起求生的意志。
0x000E80  希望能夠親眼見證他們展翅翱翔的那一刻。
0x000EA8  然後，如果還可以做到的話，
0x000EC4  希望自己可以永遠是他們隨時可以回來的故鄉
0x000EEE  ，希望自己可以永遠默默地守候他們。
0x000F12  即使心中浮現了那一股淡淡的希望，
0x000F34  但愛爾梅納斯卻也發現，
0x000F4C  混沌已經來到了自己的心中。
0x000F68  也發現了自己其實期望著，
0x000F82  那在心中發芽的混沌撲滅自己的生命之火。
0x000FAA  ……奎絲忒！
0x000FB8  ……父親大人，我好痛苦。
0x000FD2  奎絲忒，妳……
0x000FE2  我，我討厭，這種事情。
0x000FFA  父親大人……
0x001008  沒事了，沒事了，不用再害怕了。
0x001028  我就在妳身邊呀。
0x00103A  可不可以再抱緊一點……
0x001052  ……不用擔心。
0x001062  帕蘭達因會驅逐混沌的。
0x00107A  沒問題的。
0x001086  ……嗯。
0x001090  不用擔心……
0x00109E  我們也會幫助他們的。
0x0010B4  ……嗯。
