0x000330  奎絲忒呀……
0x00033E  還真不愧是個和精靈一起長大的孩子呀。
0x000364  …………
0x00036E  愛爾梅納斯的病─
0x000380  「匍伏蔓延而來之物」本身，
0x00039C  才是這個學舍的絕望嗎？
0x0003B4  哈哈……
0x0003BE  不會吧，帕蘭達因是不會相信這些的。
0x0003E2  …………
0x0003EC  …………
0x0003F6  那麼，我們來做一些我們能夠做的事情吧。
0x00041E  那麼，往巴雷歐斯出發……？
0x00043A  是的。
0x000442  朝向那些黑衣施咒者被囚禁的地方。
0x000464  一定要趕在那些深沉的混沌，
0x000480  將頭從那裡探出來之前。
0x000498  …………
0x0004A2  ……你們要小心呀。
0x0004B6  黑衣施咒者也許不是可以用普通方式就能解決
0x0004E0  的敵人。
0x0004EA  ……我就是這麼認為的。
0x000502  我就知道你會這樣說。
0x000518  吾友啊……正因為如此，
0x000530  請你在一切都結束之前，多加小心呀。
0x000554  ……是的。
0x000560  感謝您的忠告。
