0x0006E6  ……純潔之盾。
0x0006F6  嗚……
0x0006FE  …………
0x000708  我們簡直就是……
0x00071A  在毫無意義的情況下……
0x000732  ……失敗了。
0x000740  …………
0x00074A  想不到，這世界上竟然還有第十三個王杯，
0x000772  是吧……
0x00077C  所以我就說了嘛……
0x000790  黑衣施咒者對純潔之盾來說，
0x0007AC  真的是個太過強勁的對手了。
0x0007C8  …………
0x0007DA  至少，就讓我把老師的話轉達給你吧……
0x000800  冷靜點，好好地調整一下呼吸……
0x000820  ……愛爾梅納斯究竟是否會墮入混沌之中。
0x000848  就要看純潔之盾的努力了。
0x000862  …………
0x00086C  …………
0x000876  …………
0x000880  …………
0x00088A  艾爾、雪……
0x000898  …………
0x0008A2  是呀……
0x0008AC  艾爾雪，
0x0008B6  妳那時候是多麼慌張地在我們面前低頭哀求…
0x0008E0  …………
0x0008EA  而我卻說你是「匍伏蔓延而來之物」的同黨…
0x000914  我竟然對這麼痛苦堅守著誓約的妳，
0x000936  說了這麼過份的話。
0x00094A  凱洛特，當我在痛苦中喘息的時候，
0x00096C  也曾經被妳所說的一句話給拯救。
0x00098C  紐……
0x000994  那一份思念，我終於也可以稍微理解了……
0x0009BC  真的，
0x0009C4  我真的是個總是在做些無聊事的人呀……
0x0009EA  還沒有結束呀，紐。
0x0009FE  既然你這麼想的話，就算要咬碎牙根，
0x000A22  也要繼續在你相信的道路上努力。
0x000A42  一直到最後為止。
0x000A54  艾爾雪……
0x000A60  如果是紐的話，一定可以辦到的。
0x000A80  …………
0x000A8A  …………
0x000A94  我想你一定有很多很多的話想要說吧，
0x000AB8  然而，若是現在能夠出一份力幫忙的話，
0x000ADE  就請盡快努力幫忙吧。
0x000AF4  帕彌菈學姊呢……？
0x000B08  …………
0x000B12  ……往那最深沉的迷宮裡走去了。
