0x0004E6  果然，到最後還留在這裡的，就是你呀。
0x00050C  ……賢者圓桌的判斷是正確的。
0x00052A  就因為這樣，純潔之盾才能完成使命。
0x00054E  …………
0x000558  聖瑟維艾斯代替學舍犧牲了自己、
0x000578  葛斯貝布洛為了愛爾梅納斯而奮鬥、
0x00059A  帕蘭達因毅然地走在充滿荊棘的道路上。
0x0005C0  …………
0x0005CA  就算只有一點點也好。
0x0005E0  希望您能夠體諒孩子們的心情。
0x0005FE  ……抱歉。
0x00060A  ……第十三王杯呢？
0x00061E  在黑衣施咒者與「匍伏蔓延而來之物」的手中
0x00064E  許下了愛爾梅納斯的願望─自我毀滅。
0x000672  …………
0x00067C  原來事情是這樣子啊……
0x000694  這一切都是因為我的無能……
0x0006B0  非常地抱歉。
0x0006BE  …………
0x0006C8  …………
0x0006D2  在戰爭結束後……
0x0006E4  希望您能再度地放出照耀愛爾梅納斯的光芒。
0x000716  純潔之盾會保護愛爾梅納斯的。
0x000734  ……不。
0x00073E  是跟所有在愛爾梅納斯一起生活的人同心協力
0x00076C  ……真的，很感謝你。
0x000782  不客氣。
0x00078C  …………
0x000796  希望我們在未來的那個時刻再見。
0x0007B6  ……希望我們在未來的那個時刻再見。
