0x000D2C  我所追求的願望，並沒有實現。
0x000D4A  然而，
0x000D52  能和磨練得這麼透徹的帕蘭達因共同奮戰，
0x000D7A  ……我已經沒有遺憾了。
0x000D92  雖然是因為發生了無法預知的狀況……
0x000DB6  但我們也沒有辦法克服它。
0x000DD0  然後，非常幸運地，被純潔之盾拯救了。
0x000DF6  …………
0x000E00  陛下。
0x000E08  我從過去就很努力地想要教導你，
0x000E28  教導你那些關於要復興奧丁•古魯士而言，
0x000E50  所必須擁有的力量與智慧。
0x000E6A  …………
0x000E74  修奈鐸……
0x000E80  但是現在，也許那真正重要的東西……
0x000EA4  其實是純潔之盾才擁有的也說不定。
0x000EC6  …………
0x000ED0  …………
0x000EDA  我漸漸地開始感覺到了，
0x000EF2  我過去輕視那些事情的生活態度，
0x000F12  真的是十分地愚蠢。
0x000F26  修奈鐸先生……
0x000F36  從今天開始，
0x000F44  你們走的路就由你們自己決定吧。
0x000F64  …………
0x000F6E  …………
0x000F78  …………
0x000F82  ……你準備走了對吧？
0x000F98  ……長老先生！！
0x000FAA  你想逃了是吧。
0x000FBA  事情都到了這種程度，
0x000FD0  我怎麼還有臉繼續待在愛爾梅納斯呢？
0x000FF4  如果你對自己犯的錯誤而感到害怕，
0x001016  那份感覺就會變成對你的處罰。
0x001034  無論你將會受到怎樣的輕蔑也好，
0x001054  還是會有孩子們為了學習而來跟隨你，
0x001078  你就從今天開始好好地教導他們吧。
0x00109A  …………
0x0010A4  而你們究竟是不是被其他人需要，
0x0010C4  就由純潔之盾來決定吧。
0x0010DC  要不要試試看重新出發呢？
0x0010F6  …………
0x001100  …………
0x00110A  …………
0x001114  我曾經攻陷了聖瑟維艾斯。
0x00112E  而我過去專橫跋扈的行為，
0x001148  也是永遠不會改變的事實。
0x001162  ……就像奈比洛斯說的一樣，
0x00117E  你也豁出了你的性命去挽救錯誤了。
0x0011A0  就算你是一心為了愛爾梅納斯而努力，
0x0011C4  也難免會有過錯。
0x0011D6  然而，那是為了沽名釣譽呀。
0x0011F2  一切都是為了替吾王─奧吉爾•維因哈特，
0x00121A  取得良好的名譽呀。
0x00122E  …………
0x001238  只不過是為了自己強烈的慾望罷了……
0x00125C  是呀，我自己才是賢者之中應該被放逐的敗類
0x00128C  …………
0x001296  ……但是我們現在之所以會聚集在這裡，
0x0012BC  這一切也都是為了愛爾梅納斯呀。
0x0012DC  …………
0x0012E6  最後……純潔之盾為了拯救愛爾梅納斯，
0x00130C  必須走入學舍的最深處。
0x001324  這是在毀滅的帝王將不滅的法燈破壞之前的最
0x00134E  後決戰。
0x001358  …………
0x001362  你真的不願意出手幫助他們嗎？
0x001380  ……您是認真的嗎？
0x001394  如果，你也這麼希望的話。
0x0013AE  …………
0x0013B8  這一切，都是為了那些無可取代的回憶呀。
0x0013E0  ……為了那無可取代的故鄉。
0x0013FC  …………
0x001406  …………
0x001410  …………
0x00141A  …………
0x001424  …………
0x00142E  大家都處在同樣的痛苦之中，
0x00144A  無論是聖瑟維艾斯、伊諾森提雅、
0x00146A  葛斯貝布洛或是帕蘭達因。
0x001484  …………
0x00148E  …………
0x001498  …………
0x0014A2  ……請進吧。
0x0014B0  如果你們有這個意願的話。
0x0014CA  …………
0x0014D4  …………
0x0014DE  …………
0x0014E8  …………
0x0014F2  …………
0x0014FC  …………
0x001506  …………
0x001510  …………
0x00151A  …………
0x001524  …………
0x00152E  …………
0x001538  …………
0x001542  …………
0x00154C  當我處在那不知道有多麼深的痛苦裡時……
0x001574  有一位賢者，
0x001582  什麼話都沒說的就接受了我、包容我。
0x0015A6  他只是，只是對我露出微笑。
0x0015C2  …………
0x0015CC  是的……
0x0015D6  道路就在那裡。
0x0015E6  你的道路就在那裡。
0x0015FA  感謝……！！
0x001608  對不起……！！
0x001618  …………
0x001622  在下一次的離別之前，
0x001638  至少就讓我們聚在一起吧。
