0x000384  這樣真的可以嗎……？
0x00039A  要把你珍愛的這些孩子們……
0x0003B6  送到這麼困難的戰鬥中呀。
0x0003D0  那些孩子們是這樣地希望著。
0x0003EC  …………
0x0003F6  孩子們在那個被黑暗籠罩著的故鄉裡，
0x00041A  不但無法找到可以追求的目標，
0x000438  而且也沒有辦法得到自由……
0x000454  …………
0x00045E  在那毫無道理的恐懼中，
0x000476  也有一些不能忍受就此苟延殘喘的孩子。
0x00049C  我是這麼認為的。
0x0004AE  就算那是一條很難走完的路，
0x0004CA  那也是孩子們自己選擇的路。
0x0004E6  我怎麼會有理由去留下那些孩子們呢？
0x00050A  那些孩子們，
0x000518  明明就正要為了自己的信念而展翅翱翔呀。
0x000540  抱歉。
0x000548  ……別在意。
0x000556  我終於發現了。
0x000566  我自己在年輕時夢想著出外旅行的思念，
0x00058C  現在簡直就活在這些孩子們的身上。
0x0005AE  難道，就沒有什麼我可以出點力的事情嗎？
0x0005D6  就像你曾經做過的一樣。
0x0005EE  溫柔地、有力地給予他們信任吧。
0x00060E  就像那愛護著自己孩子的母親般，
0x00062E  給予他們那不求回報的愛呀。
0x00064A  …………
0x000654  …………
0x00065E  ……你真是露出了一個好表情。
0x00067C  不知道經過多少歲月，
0x000692  我從來沒有像現在這樣地為你感到驕傲過。
0x0006BA  那我就信任你，和你所疼愛的那些孩子們吧。
0x0006E4  然後，我發誓我會支持你們，直到最後。
0x00070A  就算是受了傷也好，被打敗了也好。
0x00072C  ……失敗並不代表一切都將結束，
0x00074C  只有在自己也放棄的時候，
0x000766  才會是結束的時候。
