0x00090A  「匍伏蔓延而來之物」們的帝王……
0x00092C  有十三騎士跟隨，並率領著十三王者。
0x000950  這個世界在無盡的戰亂中生病、受苦。
0x000974  而那「匍伏蔓延而來之物」更解放了混沌，
0x00099C  意圖讓一切都回歸到黑闇之中。
0x0009BA  第十三王杯接受了愛爾梅納斯與「匍伏蔓延而
0x0009E4  來之物」們共同的願望－－
0x0009FE  要將這個世界毀滅。
0x000A12  …………
0x000A1C  毀滅之王……
0x000A2A  那就是混沌的願望……
0x000A40  …………
0x000A4A  我們能夠打敗那些傢伙嗎？
0x000A64  我們的願望能夠實現嗎？
0x000A7C  真的能夠實現嗎？
0x000A8E  當然可以啦。
0x000A9C  …………
0x000AA6  …………
0x000AB0  只要把那扇門給關閉起來就好了，
0x000AD0  用堅固的鎖將它封閉起來。
0x000AEA  那又要怎麼做呢？
0x000AFC  你的孩子們將會去完成這件任務的。
0x000B1E  …………
0x000B28  那些孩子將會讓「匍伏蔓延而來之物」們回到
0x000B52  它們原先所在的地方。
0x000B68  無論是毀滅之王也好、黑衣施咒者也好，
0x000B8E  全部都會被他們一起送回去的。
0x000BAC  …………
0x000BB6  他們真的做的到嗎？
0x000BCA  不然，還有別條路可以走嗎。
0x000BE6  愛爾梅納斯呀……
0x000BF8  有能力抵抗混沌的，就只有那些孩子了吧？
0x000C20  還是你故意要他們走向那自滅的道路呢？
0x000C46  無論怎樣也好……！
0x000C5A  就算這一切都是為了拯救愛爾梅納斯也好……
0x000C84  我也不會……
0x000C92  嗯嗯，就是說囉。
0x000CA4  就因為這樣，
0x000CB2  可見你事實上對他們已經很有信心了嘛……
0x000CDA  嗯嗯。
0x000CE2  就是這樣。
0x000CEE  那些孩子們做的到的，
0x000D04  他們一定會永不放棄地前進下去吧。
0x000D26  《因為我曾經這樣用心地去教育他們，
0x000D4A  　不知不覺間，
0x000D5A  　這彷彿窒息般的痛苦，
0x000D72  　終於，還是來臨了嗎？》
0x000D8C  《要自己鬆開那握著心愛的孩子們的手，
0x000DB2  　向他們道別的時刻……》
0x000DCC  父親大人。
0x000DD8  …………
0x000DE2  請您不要再責怪自己了。
0x000DFA  …………
0x000E04  很好。
0x000E0C  妳能夠一直努力到這裡來，真的很好。
0x000E30  拜託您了。
0x000E3C  請您繼續伸出您的雙手吧。
0x000E56  就像您過去所做的一樣。
0x000E6E  就像您照顧我們的時候一樣……
0x000E8C  …………
0x000E96  那時候，
0x000EA0  應該也可能會流失一些無法掌握的東西吧。
0x000EC8  從手指的縫隙間，
0x000EDA  應該也可能會流失一些無法掌握的東西吧。
0x000F02  所以，我們會在那樣的情況下幫助您的。
0x000F28  所以，請求您。
0x000F38  奎絲忒……
0x000F44  父親大人……
0x000F52  奎絲忒，
0x000F5C  當我變成了妳的父親的時候……
0x000F7A  同時，也就注定了沒有辦法阻止妳離我而去吧
0x000FA8  …………
0x000FB2  要跟這些因為幸運而邂逅的孩子們別離，
0x000FD8  這也是沒有辦法的事情，對吧？
0x000FF6  嗯嗯，事情並不是那樣的。
0x001010  只要您願意相信我們的話，
0x00102A  我們就什麼事情都可以做到。
0x001046  因為無論我們碰到什麼樣的事情，
0x001066  都可以見到您的笑容。
0x00107C  …………
0x001086  我們一定會回來的。
0x00109A  ……然後再度與您交談。
0x0010B2  呼喚您的名字。
0x0010C2  無論多少次也好，一定會的……
0x0010E0  因為想要再一次大聲地呼喚您。
0x0010FE  …………
0x001108  可以嗎……？
0x001116  啊啊，謝謝妳。
