0x00024C  我第一次摸索著進入學舍大門的那一天。
0x000272  第一次與您見面的那一天。
0x00028C  第一次因為被責罵而哭泣，
0x0002A6  以及第一次因為被稱讚而歡笑的時刻。
0x0002CA  現在這樣想起來……
0x0002DE  就算是對我這個總是帶來困擾的人，
0x000300  也打從心底好好教導，
0x000316  那份無可替代的熱情。
0x00032C  無論怎樣的困難也可以克服，
0x000348  那份不求報償的愛。
0x00035C  在那痛苦的時刻、悲傷的時刻、
0x00037A  身體健康的時刻，
0x00038C  還有那充滿著歡喜的幸福時刻。
0x0003AA  我希望可以傳播出去。
0x0003C0  在現在以外的某一天、
0x0003D6  這裡以外的某個地方，
0x0003EC  傳播這愛爾梅納斯的故事。
0x000406  傳播那追求自我的人生，是多麼地美好。
0x00042C  然後，在受到挫折的時候好好地去回憶。
0x000452  只要在那刻畫於胸口的鮮明回憶中，
0x000474  張開心靈的翅膀，
0x000486  無論什麼時候，就都可以回到那段時光裡。
0x0004AE  回到故鄉。
0x0004BA  回到那溫暖的家人們身邊。
0x0004D4  回到我曾經找到了信念的地方，
0x0004F2  是的，也就是有您存在的這個地方。
