0x0005C4  ……您是說巡邏班吧？
0x0005DA  從過去到現在，
0x0005EA  如果要說純潔之盾有什麼傳統的話，
0x00060C  我想……應該就只有巡邏班了吧。
0x00062C  ……雖然法爾德閣下您說的沒錯。
0x00064C  然而對現在只有三個人的純潔之盾來說，
0x000672  這不會有點太勉強了嗎。
0x00068A  難道你打算讓他們一直待在這裡，
0x0006AA  每天就只是面對著書桌嗎？
0x0006C4  在那種年紀裡，
0x0006D4  還是要多出去走動走動比較好。
0x0006F2  …………
0x0006FC  而且相比之下，
0x00070C  老是聽我們這些老頭子說話，
0x000728  應該是一點好處也沒有吧？
0x000742  沒錯吧，德涅西亞？
0x000756  …………
0x000760  沉默就代表肯定我說的話囉。
0x00077C  你呀，從什麼時候開始，
0x000794  竟然開始模仿起帕蘭達因的行事方針了？
0x0007BA  要是你也遵循著聖瑟維艾斯的想法的話，
0x0007E0  就會知道我其實是不想太輕率地回應呀。
0x000806  現在可沒有那個時間讓你好好考慮了。
0x00082A  …………
0x000834  …………
0x00083E  那麼，法爾德閣下，
0x000852  您認為這次應該從哪裡著手呢？
0x000870  一開始的時候，
0x000880  就先去一趟貝亞托利斯的湧泉谷吧。
0x0008A2  我們對水戰應該是沒有什麼經驗吧？
0x0008C4  貝亞托利斯……
0x0008D4  無論需要嘗試多少次，
0x0008EA  都要讓他們習慣在各式各樣的地形中行動。
0x000912  要讓他們瞭解「匍伏蔓延而來之物」的特性。
0x00093C  不管少做了哪一樣，
0x000950  都能不能算是完整地教育了那些孩子們。
0x000976  …………
0x000980  既然我現在寄於純潔之盾籬下，
0x00099E  那麼我就必須負起給予你們建議的責任。
0x0009C4  我可是不敢怠慢了應盡的義務。
0x0009E2  法爾德……
0x0009EE  ……當然，
0x0009FA  一切的決定都在這個年輕的賢者手裡。
0x000A1E  我的意見是不是會被採用，
0x000A38  其實對我來說，並不是很在意。
0x000A56  …………
0x000A60  那麼……
0x000A6A  我還有點事情要做，先失陪了。
0x000A88  …………
0x000A92  …………
0x000A9C  都已經到了這把年紀，還是有這麼多意見。
0x000AC4  那一副好像要吃定你的樣子，
0x000AE0  真是讓我想起了過去年輕的時候。
0x000B00  …………
0x000B0A  你能理解法爾德的這份心意嗎？
0x000B28  我能夠理解他的想法。
0x000B3E  ……純潔之盾還是得去完成那些應該要完成的
0x000B68  任務呀。
0x000B72  感謝你。
0x000B7C  …………
0x000B86  ……那麼，就這樣了吧。
0x000B9E  是的……
