0x000378  你的表情看起來不太開心呢，吾友。
0x00039A  …………
0x0003A4  …………
0x0003AE  這也不是沒有理由的呀。
0x0003C6  真是有夠慘的，所謂的「無孔不入」，
0x0003EA  大概就是在形容那些傢伙吧。
0x000406  終於，這裡也不再讓人感到任何一點安穩了。
0x000430  的確。
0x000438  雖然和以前一樣，行動仍然不是很協調，
0x00045E  但是比起以前，真的有條理太多了。
0x000480  你現在是在說純潔之盾？
0x000498  還是在說那些異形的混沌？
0x0004B2  這個嘛……
0x0004BE  這就要讓我們的朋友來決定了。
0x0004DC  不過，不管要怎麼去判斷，
0x0004F6  那大概都只針對目前的情況來推斷而已。
0x00051C  ……你的意思是說，
0x000530  「匍伏蔓延而來之物」之中，
0x00054C  也有領導者的存在嗎？
0x000562  「匍伏蔓延而來之物」裡也有領導者的存在。
0x00058C  雖然還沒有人確定過，
0x0005A2  但是以後總會有人分辨出來的，對吧？
0x0005C6  …………
0x0005D0  …………
0x0005DA  在賽格諾爾出現的那些混沌，
0x0005F6  大概就是屬於領導階層的吧。
0x000612  混沌的種子，
0x000620  我想……也是為了培養那些東西而存在的吧。
0x00064A  不過，要確定這件事情可是有點困難喔。
0x000670  ……現在正是去確認的好時機呀。
0x000690  對於敵我雙方來說都是。
0x0006A8  …………
0x0006B2  …………
0x0006BC  …………
0x0006C6  …………
0x0006D0  ……嗯？
0x0006DA  我會試試看的。
0x0006EA  為了以後那一定會到來的危機做準備……
