0x0009BA  終於……通往安蒂米昂的道路打開了嗎？
0x0009E0  ……如果錯失了這次機會，
0x0009FA  也許就再也沒有辦法回去了呢。
0x000A18  雖然現在要反攻過去也十分地困難。
0x000A3A  …………
0x000A44  …………
0x000A4E  …………
0x000A58  他的情況怎麼樣了呢……？
0x000A72  「總有一天，我們會沒有辦法再固守不出。
0x000A9A  我們不能再這樣一直拖延下去。」
0x000ABA  …………
0x000AC4  …………
0x000ACE  那位先生一邊這麼說，卻一邊垂下了雙眼……
0x000AF8  …………
0x000B02  「孩子們正這麼希望著。
0x000B1A  他們正用那澄澈的眼神這樣地盼望著。」
0x000B40  …………
0x000B4A  「雖然如此，要回應那一份思念的同時，
0x000B70  卻也會讓他們遭受苦難……
0x000B8A  這是我不能接受的。」
0x000BA0  他給我的感覺是這樣的……
0x000BBA  ……真的都沒變呢。
0x000BCE  羽翼之長的愛徒們，
0x000BE2  今天也與那別離的雨夜裡一樣。
0x000C00  …………
0x000C0A  充滿奧爾菲思念的書信……
0x000C24  把他召喚回來了嗎。
0x000C38  這還真不知道是喜是憂啊。
0x000C52  這一切，真的是罪孽深重哪。
0x000C6E  …………
0x000C78  …………
0x000C82  不是這樣的。
0x000C90  …………
0x000C9A  雖然踏上了與大家分離的旅程，
0x000CB8  但就因為有著對奧爾菲學長的掛念，
0x000CDA  他才能夠有不斷前進的毅力吧。
0x000CF8  …………
0x000D02  那就是純潔之盾所選擇的道路，
0x000D20  就是孩子們決定了要前進的方向呀。
0x000D42  是這樣嗎……那就這樣吧。
0x000D5C  各位能夠像現在這樣地挺身而出，
0x000D7C  真是令人開心。
0x000D8C  為了保護我們的故鄉，
0x000DA2  就算這一點點努力微不足道……
0x000DC0  我們也要把這份心意展現出來。
0x000DDE  …………
0x000DE8  …………
0x000DF2  曾經有人這麼說。
0x000E04  …………
0x000E0E  …………
0x000E18  「我只希望能夠做到這件事情。
0x000E36  無論面對什麼樣的人，都要用微笑去面對。」
0x000E60  ……無論面對什麼樣的人，
0x000E7A  都要用微笑去面對。
0x000E8E  …………
0x000E98  …………
0x000EA2  這是我的老師對我的教誨。
0x000EBC  …………
0x000EC6  就像你們所希望的一樣。
0x000EDE  就像我所希望的一樣。
0x000EF4  …………
0x000EFE  讓我們為愛爾梅納斯取回昔日的笑容吧。
0x000F24  是的！！
0x000F2E  …………
0x000F38  是的！！
0x000F42  …………
0x000F4C  是的！！
0x000F56  是的！！
0x000F60  是的！！
0x000F6A  是的！！
0x000F74  …………
0x000F7E  是的！！
0x000F88  是的！！
0x000F92  …………
0x000F9C  很好，回答得很有精神。
