0x000518  您果然還是要走了呢。
0x00052E  可不是嗎……
0x00053C  就算黑闇已經籠罩在我所要走的道路上，
0x000562  也不可以因此而退縮呀。
0x00057A  …………
0x000584  ……你還真是了不起呀。
0x00059C  你也是啊。
0x0005A8  …………
0x0005B2  …………
0x0005BC  如果可以的話，我也希望可以繼續留下來。
0x0005E4  然而，就像羅沙麗亞曾經做過的那樣，
0x000608  就像羅弗利也曾經做過的那樣。
0x000626  我這愚劣的僧人也應該要出發了。
0x000646  要往北方出發？
0x000656  呼嗯。
0x00065E  我會沿著那在伊斯特河邊設立的幾個聖者之泉
0x000688  走下去……
0x000694  打算就這樣地穿越阿修特羅斯的關口。
0x0006B8  …………
0x0006C2  「匍伏蔓延而來之物」是不會追到關口外面去
0x0006F2  伊斯特的河畔，
0x000702  根本就已經是「匍伏蔓延而來之物」的巢穴了
0x000732  …………
0x00073C  他們之所以沒有佔領所有的聖者之泉，
0x000760  就是為了引誘我們過去。
0x000778  我並不是有意要詛咒你，
0x000790  但是這次……
0x00079E  …………
0x0007A8  德涅西亞，我可是僧侶呀。
0x0007C2  那值得尊敬的祖先們所立下的基礎，
0x0007E4  就是聖者之泉。
0x0007F4  你要我眼睜睜地看著它們遭受污染，
0x000816  這我可做不到。
0x000826  …………
0x000830  那麼，就請您讓我們護送您到阿修特羅斯關口
0x00085A  外面為止吧。
0x000868  至少……
0x000872  讓我們純潔之盾報答您這一段時間以來，
0x000898  對我們的恩情。
0x0008A8  …………
0x0008B2  …………
0x0008BC  嗯嗯。
0x0008C4  那麼我就歡喜地接受你的要求吧。
0x0008E4  ……法爾德。
0x0008F2  德涅西亞。
0x0008FE  你曾經想過在離別的時刻，
0x000918  竟然還能如此地歡喜嗎？
0x000930  …………
0x00093A  你有個很好的徒弟，
0x00094E  而我也能看見你這個好徒弟正在造就一些好孩
0x00097E  …………
0x000988  那麼，年輕的純潔之盾首領呀，
0x0009A6  一切就都拜託你處理了，
0x0009BE  雖然我這老頭來日已然無多，
0x0009DA  不過我這一輩子都不會忘記你的恩情的。
0x000A00  ……賭上純潔之盾的名譽，
0x000A1A  我們一定會安全地護送您出去。
