0x0002BA  ……您怎麼了呢？
0x0002CC  …………
0x0002D6  …………
0x0002E0  露奇亞洞窟的狀況令人擔心呀。
0x0002FE  …………
0x000308  那些孩子們應該也在焦慮吧，
0x000324  純潔之盾也常常到露奇亞洞窟進行教學呀。
0x00034C  然而那裡現在已經是「匍伏蔓延而來之物」的
0x000376  勢力範圍了。
0x000384  就算只有一點也好。
0x000398  也希望能夠保留一些回憶……
0x0003B4  這一點，無論是對老年人或是年輕人來說，
0x0003DC  應該都沒有什麼差別吧。
0x0003F4  …………
0x0003FE  無論是誰，心中都埋藏著自己的思念。
0x000422  雖然不見得說得出口，
0x000438  但一旦思念被觸動的話，
0x000450  就會如同海浪一樣地洶湧翻騰。
0x00046E  ……老師。
0x00047A  唉呀唉呀，這樣不行哪。
0x000492  年紀一大就變得這麼多話，這可是不行的呀。
0x0004BC  …………
0x0004C6  這麼一說，
0x0004D2  那地方不但陽光微弱，下雨也總是稀稀疏疏，
0x0004FC  我這老頭子如果可以埋葬在那裡，
0x00051C  應該就可以悠閒地安眠吧。
0x000536  ……那麼，就這樣了吧。
