0x00030E  法爾德留下的信你應該已經看過了吧？
0x000332  ……是的。
0x00033E  就算到了最後的最後，
0x000354  他也還是想操縱我們的行動的樣子。
0x000376  …………
0x000380  在傑諾巴特斯的遺跡裡，
0x000398  有著需要純潔之盾幫忙的人……
0x0003B6  如果各位願意的話，
0x0003CA  那一位應該也會是純潔之盾所需要的人才。
0x0003F2  他這話還說得真是漂亮呀。
0x00040C  …………
0x000416  都已經被他說成這樣了……
0x000430  看來，好像是非去不可了呢。
0x00044C  …………
0x000456  呼嗯。
0x00045E  …………
0x000468  沒關係的，就算有什麼萬一的話，
0x000488  雖然那應該是不可能的啦，
0x0004A2  就算這是一個陷阱也好，
0x0004BA  這應該也會是一趟很好的冒險呀。
0x0004DA  …………
0x0004E4  沒錯，
0x0004EC  雖然我不是很明白我朋友究竟在想些什麼……
0x000516  至少，我願意相信他，
0x00052C  絕對不會準備了一個陷阱給我們跳下去的。
