0x00069E  從現在開始，我們要進攻安蒂米昂。
0x0006C0  ……希望各位能夠對長久以來培養的這一切能
0x0006EA  力感到足夠的自信。
0x0006FE  如果沒有辦法先瞭解自己的話……
0x00071E  當然也就沒有辦法看見自己的目標……
0x000742  雖然一路走來的道路上只有痛苦，
0x000762  但是大家還是一心一意地走到了這裡。
0x000786  那夢幻般的心願微微亮起了希望的火光。
0x0007AC  各位不曾違背過那拯救故鄉的思念，
0x0007CE  一直努力追求到了現在。
0x0007E6  在這裡，將那一切的努力通通表現出來吧，
0x00080E  將你們的那份思念表達出來吧。
0x00082C  帕彌菈。
0x00083C  瑟希莉絲。
0x000848  …………
0x000858  伊里安。
0x000862  …………
0x00087A  …………
0x00088A  艾爾雪。
0x000894  …………
0x0008A4  奎絲忒。
0x0008AE  …………
0x0008BE  凱洛特。
0x0008C8  …………
0x0008E0  …………
0x0008F0  格列佛。
0x0008FA  …………
0x00090A  柏爾德。
0x000914  …………
0x000924  這一份心願，總有一天一定會實現。
0x000946  ……我是如此相信的。
