0x0002A6  老師。
0x0002AE  瑟希莉絲……
0x0002BC  既然眺望萬物的尖塔……
0x0002D4  打算收集所有的王杯，並引出它們力量的話。
0x0002FE  那麼，「匍伏蔓延而來之物」一定會想盡辦法
0x000328  去阻止吧。
0x000334  …………
0x00033E  而且，
0x000346  如果眺望萬物的尖塔在探索王杯的任務裡，
0x00036E  或是在那引起奇蹟的儀式中，
0x00038A  用盡所有的力量的話……
0x0003A2  無論眺望萬物的尖塔的力量有多麼強大，
0x0003C8  我也認為若是他們要同時阻止「匍伏蔓延而來
0x0003F2  之物」的話，
0x000400  是一件非常困難的事。
0x000416  …………
0x000420  老師，我……
0x00042E  我想去一趟眺望萬物的尖塔。
0x00044A  嗯嗯。
0x000452  大家也都是這麼想的。
0x000468  這樣啊。
0x000472  …………
0x00047C  我瞭解了。
0x000488  那麼我們就往眺望萬物的尖塔出發吧。
0x0004AC  希望那裡有機會可以充分地發揮純潔之盾的實
