0x0002E4  我說啊。
0x0002F4  讓它在這裡變成安蒂米昂的名產，
0x000314  好像也不錯嘛。
0x000324  …………
0x00032E  本來呀，我是想早一點……
0x000348  是啊，如果在艾爾貝洛瓦就可以這樣做的話，
0x000372  說不定會更有趣呢。
0x000386  如果不是在這裡的話，就沒有這種餘裕了吧。
0x0003B0  ……抱歉。
0x0003BC  在有能力做的時候就全力去做，
0x0003DA  這的確是伊諾森提雅的傳統沒錯。
0x0003FA  原來如此。
0x000406  不過……你離開愛爾梅納斯也有九年了呢。
0x00042E  …………
0x000438  我呀，只不過是被關在牢裡那麼一小段時間，
0x000462  就已經被整成這樣了。
0x000478  …………
0x000482  就憑這一點，
0x000490  我能夠瞭解奈比洛斯閣下敢於保持沉默，
0x0004B6  甚至到自己還因此被囚禁的程度……
0x0004D8  那就表示她已經有了相當大的覺悟。
0x0004FA  …………
0x000504  唉呀，總之咧，
0x000514  「那個」已經在第三中庭裡準備好了，
0x000538  什麼時候想試試看都可以。
0x000552  嗯嗯。
0x00055A  謝謝你。
