0x000AB4  ……這裡也完全沒有改變呢。
0x000AD0  ……是的。
0x000ADC  想不到在這裡會受到「灰白」的歡迎，
0x000B00  真是令人感到眼花撩亂哪。
0x000B1A  …………
0x000B24  …………
0x000B2E  …………
0x000B38  ……你究竟是誰？
0x000B4A  …………
0x000B54  明明就應該是賢者的你，
0x000B6C  為什麼會跑來這種地方……？
0x000B88  經過了九年的旅行，
0x000B9C  難道你連正邪都沒有辦法分辨了嗎？
0x000BBE  …………
0x000BC8  …………
0x000BD2  …………
0x000BDC  為什麼你有辦法來這被異形混沌所包圍的玄室
0x000C0A  我會依照你的答案來決定要不要殺你……
0x000C30  ……格列佛、柏爾德。
0x000C46  …………
0x000C50  …………
0x000C5A  …………
0x000C64  如果要這樣說的話。
0x000C78  你們兩個在這裡不但沒有東西可以吃，
0x000C9C  也沒有生火取暖……
0x000CB0  究竟又是為什麼有辦法保持著對我揮劍的體力
0x000CE0  這難道不是也十分地不可思議嗎。
0x000D00  這裡跟以前不一樣了呀。
0x000D18  原來如此。
0x000D24  原來這裡已經跟九年前不一樣啦。
0x000D44  ……請你不要轉移話題的焦點……
0x000D64  …………
0x000D6E  …………
0x000D78  ……哥哥。
0x000D84  …………
0x000D8E  這個人……
0x000D9A  不是自己一個人過來的。
0x000DB2  …………
0x000DBC  …………
0x000DC6  …………
0x000DD0  難道……？
0x000DDC  不，不可能。
0x000DEA  伊諾森提雅並沒有這麼強大的力量呀。
0x000E0E  ……格列佛。
0x000E1C  柏爾德……
0x000E28  伊里安……
0x000E34  瑟希利絲……！
0x000E44  …………
0x000E4E  …………
0x000E58  不會吧……
0x000E64  這真是太令人吃驚了……
0x000E7C  啊啊，您是……
0x000E8C  羽翼之長閣下……
0x000E9E  …………
0x000EA8  ……這真是令人開心呀。
0x000EC0  而且白銀的薔薇也在這哩，
0x000EDA  美麗的露弗鐸可勞千金呀……
0x000EF6  我一直都在為妳的平安祈禱呢。
0x000F14  ……請兩位都把頭抬起來吧。
0x000F30  我可不是你們應該低頭的對象唷？
0x000F50  …………
0x000F5A  那麼……
0x000F64  …………
0x000F6E  …………
0x000F78  …………
0x000F82  我一直都在等待，
0x000F94  可以像這樣地再度跟大家聯手的日子。
0x000FB8  ……是的。
0x000FC4  ……是的。
0x000FD0  老師……
0x000FDA  身為純潔之盾之長，
0x000FEE  您願意認同他們兩個再度加入嗎？
0x00100E  …………
0x001018  ……雖然我們也是有一些躊躇。
0x001036  …………
0x001040  …………
0x00104A  而且既然純潔之盾裡有著這樣的人物在支撐。
0x001074  看來純潔之盾之長，
0x001088  與我們所要追求的目標是一樣的。
0x0010A8  ……至少現在我們的目標是一致的。
0x0010CA  …………
0x0010D4  …………
0x0010DE  …………
0x0010E8  …………
0x0010F2  …………
0x0010FC  ……灰白的雙星呀。
0x001110  用你們那熾烈燃燒的熱情，
0x00112A  與如同寒冰一般堅定的信念，
0x001146  將一切都寄託在愛爾梅納斯的名號之下。
0x00116C  以這崇高的血統。
0x00117E  以這崇高的血統。
0x001190  …………
0x00119A  向您發誓，要成為您作戰的劍，
0x0011B8  也成為保護您的盾。
0x0011CC  向您發誓，要成為您作戰的劍，
0x0011EA  也成為保護您的盾。
0x0011FE  我相信……
0x00120A  你們兩位的思念將會對純潔之盾有所幫助。
