0x0005CE  你現在有時間嗎？
0x0005E0  羅弗利。
0x0005EA  什麼？
0x0005F2  不會浪費你很多時間的啦。
0x00060C  你也千萬不要說你現在很忙唷。
0x00062A  ……歡迎歡迎呀。
0x00063C  擁有這世上少有毒舌的我的朋友。
0x000662  要是這個世界上沒有令人不滿的事情的話，
0x00068A  我也就沒有理由開口說些什麼啦。
0x0006AA  原來如此。
0x0006B6  總之，請進吧。
0x0006C6  喔喔。
0x0006CE  就這麼一口答應啦。
0x0006E2  你這傢伙運氣還真好咧。
0x0006FE  …………
0x000708  ……打擾了。
0x000716  …………
0x000720  …………
0x00072A  ……你對她有什麼印象嗎？
0x000744  …………
0x00074E  …………
0x000758  對這個輪廓是有一點印象啦，但是……
0x00077C  難道你想不起文克斐雷的容貌了嗎？
0x00079E  那曾經待在這裡，對我們有很大的恩情，
0x0007C4  也一直支持著帕彌菈的冰之魔法師呀。
0x0007E8  難道……
0x0007F2  她是伊莉絲的……？
0x000806  是的，這一位正是她的妹妹。
0x000822  攸莉……
0x00082C  就像之前所說的，
0x00083E  當我們還沒有獨當一面的能力的時候……
0x000864  還真的是多虧了妳姐姐的幫助呀。
0x000884  而妳今天到純潔之盾來又是……
0x0008A2  …………
0x0008AC  …………
0x0008B6  …………
0x0008C0  我是想來確認一下，
0x0008D4  當初讓姐姐如此在意過的人們，
0x0008F2  究竟是怎麼樣的人呀。
0x000908  …………
0x000912  而且，我也想要知道。
0x000928  你的靈魂還活著嗎？
0x00093C  還是你的心已然死亡了呢？
0x000956  唉唷……
0x000960  …………
0x00096A  …………
0x000974  …………
0x00097E  所以我來到了這裡。
0x000992  ……這樣啊。
0x0009A0  沒有其他的理由了。
0x0009B4  ……如果妳繼續待在這裡的話，
0x0009D2  不用太久就可以瞭解了，
0x0009EA  妳所想知道的一切事情……
0x000A04  ……是的。
0x000A10  請您多多指教了。
0x000A22  啊啊，也請妳多多指教。
0x000A3A  ……真是沒有比這更令人開心的事情了。
