0x0011FC  能夠跟您見面真是榮幸呀，純潔之盾之長。
0x001224  您不顧自己的危險……
0x00123A  而對我們伸出援手。
0x00124E  這份恩情我們不會忘記的。
0x001268  …………
0x001272  謹代替吾師奈比洛斯……
0x00128A  致上最深的謝意。
0x00129C  …………
0x0012A6  大家……
0x0012B0  太好了。
0x0012C2  艾蕾。
0x0012CA  …………
0x0012D4  妳果然也平安無事呢。
0x0012F2  …………
0x0012FC  感謝妳。
0x001306  費爾德訥。
0x001312  …………
0x00131C  …………
0x001326  怎麼了……？
0x001334  怎麼突然間把頭低下去了？
0x00134E  …………
0x001358  費爾德訥、席菈、艾蕾！
0x001370  …………
0x00137A  有我在這裡！
0x001388  有艾爾雪在這裡！
0x00139A  聖瑟維艾斯就可以再度復興了，不是嘛！？
0x0013C2  ……真不愧是法娜•修貝流士呀。
0x0013E2  當初把一切都託付給妳，果然是正確的。
0x001408  艾蕾……？
0x001414  …………
0x00141E  真正重要的，
0x00142C  並不是聖瑟維艾斯的名號。
0x00144E  奈比洛斯閣下說過：
0x001462  對每一個人來說，
0x001474  都會有一件事物是非得要他自己去支撐的。
0x00149C  咦……？
0x0014A6  …………
0x0014B0  妳已經找到了，不是嗎？
0x0014C8  妳已經找到了，
0x0014D8  那非得由妳自己去支撐的事物呀。
0x0014F8  啊……
0x001500  …………
0x00150A  所以對我們來說，
0x00151C  當然也有我們必須去完成的事情。
0x00153C  我們可不能輸給妳那耀眼的光輝呀。
0x00155E  …………
0x001568  當純潔之盾正在奮戰的現在……
0x001586  愛爾梅納斯裡也有著許多受傷的人，
0x0015A8  正在盡力戰鬥。
0x0015B8  我們希望能夠去幫助他們。
0x0015D2  我們認為去幫助那些人……
0x0015EC  跟與你們在這裡共同奮鬥一樣，
0x00160A  都會對愛爾梅納斯有所幫助的。
0x001628  …………
0x001632  …………
0x001644  老師……！
0x001650  …………
0x00165A  這樣的事情……
0x00166A  ……法娜。
0x001676  是的……
0x001680  ……我曾經接受了妳的想法。
0x00169C  老師您……
0x0016A8  老師您當初體會了、並且包容了……
0x0016CA  我心中的想法。
0x0016DA  嗯嗯……
0x0016E4  艾蕾……
0x0016EE  席菈……
0x0016F8  費爾德訥……
0x001706  …………
0x001710  這次，就輪到我……
0x001724  來體諒你們心中的想法了……
0x001740  ……這樣才是好孩子，法娜。
0x00175C  …………
0x001766  …………
0x001770  我們曾經一起立下了誓言。
0x00178A  無論發生了什麼事情也好。
0x0017A4  都要付出一切為故鄉而努力。
0x0017C0  並且許下了這樣的誓言。
0x0017D8  一個人要為了朋友而付出。
0x0017F2  另一個人要為了奈比洛斯閣下付出。
0x001814  最後一個人，
0x001822  要為了報答這份拯救我們的恩情而付出。
0x001848  １那麼，就請你們努力地貫徹自己的誓言吧。
0x001872  ２這就是你們所選擇的道路嗎？
0x001890  …………
0x00189A  那麼，就請你們努力地貫徹自己的誓言吧。
0x0018C2  …………
0x0018CC  與其一個人獨自努力，不如兩個人合力。
0x0018F2  而兩個人合力，又不如三個人合力。
0x001914  …………
0x00191E  當然，如果你們能一起加入純潔之盾的話……
0x001948  對我們來說，是最開心的事情了。
0x001968  ……老師。
0x001974  …………
0x00197E  真的是非常感謝您。
0x001992  不客氣……
0x00199E  我才應該感謝你們呢。
0x0019B4  ……法娜。
0x0019C0  …………
0x0019CA  …………
0x0019DC  這裡，真的是個很好的地方對吧。
0x0019FC  席菈……
0x001A06  只要待在這裡一小段時間……
0x001A22  一定就會想要從此都留在這裡了吧。
0x001A44  這裡是一個讓人有這種感覺的地方。
0x001A66  …………
0x001A70  妳呀，已經找到了這麼美好的地方。
0x001A92  也與大家一起出力建立了這麼美好的地方。
0x001ABA  這對我們來說，是一件很值得驕傲的事情。
0x001AE2  請妳不要忘記了。
0x001AF4  …………
0x001AFE  大家……
0x001B08  那麼，我們就各自保重吧。
0x001B22  嗯嗯。
0x001B2A  我一定會的。
0x001B38  …………
0x001B42  這就是你們所選擇的道路嗎？
0x001B5E  是的。
0x001B66  １那麼，\n　就請那散發澄澈光輝的聖女加入我們吧。
0x001B98  ２那麼，\n　就請那擁有堅強意志的人加入我們吧。
0x001BC8  ３那麼，\n　就請那如同在黑闇中升起的月亮般的聖女加入我們吧。
0x001C06  那麼，
0x001C0E  就請那散發澄澈光輝的聖女加入我們吧。
0x001C34  …………
0x001C3E  那麼，以後就由在下來為各位效力了。
0x001C62  那麼，
0x001C6A  就請那擁有堅強意志的人加入我們吧。
0x001C8E  雖然我的力量微薄，
0x001CA2  不過我也會盡力地幫助各位的。
0x001CC0  那麼，
0x001CC8  就請那如同在黑闇中升起的月亮般的聖女加入
0x001CF2  我們吧。
0x001CFC  ……能夠為各位效勞是我的快樂。
0x001D1C  感謝。
0x001D24  能得到你的協助真是令人感到安心。
0x001D46  ……法娜。
0x001D52  …………
0x001D5C  …………
0x001D6E  這裡，真的是個很好的地方對吧。
0x001D8E  席菈……
0x001D98  只要待在這裡一小段時間……
0x001DB4  一定就會想要從此都留在這裡了吧。
0x001DD6  這裡是一個讓人有這種感覺的地方。
0x001DF8  …………
0x001E02  妳呀，已經找到了這麼美好的地方。
0x001E24  也與大家一起出力建立了這麼美好的地方。
0x001E4C  這對我們來說，是一件很值得驕傲的事情。
0x001E74  請妳不要忘記了。
0x001E86  …………
0x001E90  大家……
0x001E9A  那麼，我們就各自保重吧。
0x001EB4  嗯嗯。
0x001EBC  我一定會的。
