0x0005FA  ……你的看法如何？
0x00060E  鮑貝斯•福亞托德可以說是修奈鐸的左右手，
0x000638  ……還有哈茲班•修寧格也是，
0x000656  這樣的兩個人他都願意派來給我們差遣，
0x00067C  真是令人感到相當驚訝。
0x000694  …………
0x00069E  雖然不清楚他為什麼肯派出這麼重要的兩個人
0x0006C8  來我們這裡……
0x0006D8  …………
0x0006E2  …………
0x0006EC  但也許對純潔之盾來說，只是名義上的幫助，
0x000716  實際上其實是一把牽制的雙刃劍也說不定。
0x00073E  而且在十二王杯集齊之前，
0x000758  要被他們要求做各式各樣的事情，
0x000778  還真令人感到不甚愉快……
0x000792  不過咧……
0x00079E  因為現在這種情況也不容許排擠外人了，
0x0007C4  而且，我想我的朋友也不會為了一點點好處而
0x0007EE  對他們讓步。
0x0007FC  …………
0x000806  …………
0x000810  我可是不認為除了帕蘭達因奉行的道理以外，
0x00083A  這世界上就沒有其他的道理了唷。
0x00085A  雖然是這麼說，不過……
0x000872  我們也不能對他們要求太多呀。
0x000890  讓火炎之長來到這裡幫助我們，
0x0008AE  應該已經是他們最大的讓步了，
0x0008CC  至少他們行動上已經表示了相當的誠意。
0x0008F2  …………
0x0008FC  那就因為這樣，
0x00090C  所以我們要負責去討伐黑衣施咒者？
0x00092E  我們並不是要讓一切的恩怨都隨風而逝。
0x000954  但是呢，薛莉爾，對當下的狀況，
0x000974  選擇一個自己認為是最好的方式去處理，
0x00099A  就算那是一條讓自己傷心流淚的道路也得走，
0x0009C4  這就是賢者悲哀的命運呀。
0x0009DE  …………
0x0009E8  當然。
0x0009F0  我是比較喜歡努力去讓形勢逆轉。
0x000A10  如果你們要這樣做的話，我會一起幫忙的。
0x000A38  無論什麼時候，一定會立刻地伸出援手。
0x000A5E  長老……
0x000A68  ……利用夏朧在北壁所發下的誓願，
0x000A8A  已經讓我們見識了黑衣施咒者卑鄙的手段。
0x000AB2  雖然現在愛爾梅納斯還沒有被摧毀，
0x000AD4  但是我們可以確定，
0x000AE8  他們真正的力量還是處於被封鎖的情況下。
0x000B10  …………
0x000B1A  但是那力量仍然很強。
0x000B30  是的。
0x000B38  那些本來已經被囚禁起來的傢伙，
0x000B58  應該是利用了混沌的力量，
0x000B72  才解開了自己身上的鎖鏈吧。
0x000B8E  ……他們會讓帕蘭達因感到不安，
0x000BAE  的確不是沒有原因的。
0x000BC4  …………
0x000BCE  …………
0x000BD8  …………
0x000BE2  如果帕蘭達因打算收集十二王杯，
0x000C02  然後驅除混沌的話……
0x000C18  那麼我們就要支持帕蘭達因，
0x000C34  討伐黑衣施咒者。
0x000C46  的確，也許這就是純潔之盾的任務吧。
0x000C6A  …………
0x000C74  無論他們過去曾經做過些什麼嗎？
0x000C94  無論他們過去曾經做過些什麼。
0x000CB2  無論他們過去曾經做過些什麼。
