0x00068A  妳這樣地回到這裡來了呢……
0x0006A6  然而我卻……
0x0006B4  奈比洛斯。
0x0006C0  大姐……
0x0006CA  …………
0x0006D4  …………
0x0006DE  妳看起來好像經歷了一場大戰的樣子。
0x000702  看來……妳心裡有一些解不開的心事是吧？
0x00072A  …………
0x000734  那些孩子們正在看著妳呀。
0x00074E  而妳的表情彷彿在忍受著全世界所有的痛苦，
0x000778  在這種情況下，
0x000788  妳覺得妳還有辦法對他們說些什麼嗎？
0x0007AC  …………
0x0007B6  妳在沉默退縮的時候沒能說出來的那些話，
0x0007DE  現在可得要傳達出來呀。
0x0007F6  …………
0x000800  呼嗯。
0x000808  …………
0x000812  你願意收留她嗎，年輕的四大之長呀。
0x000836  ……芭特菈閣下。
0x000848  …………
0x000852  沉思的聖堂的人們已經開始用自己的意志去行
0x00087C  動了。
0x000884  這樣的話，他們也不再需要這個導師了。
0x0008AA  …………
0x0008B4  …………
0x0008BE  另外，難道妳想讓自己最重要的女兒，
0x0008E2  老是沒有一個可以依靠的地方嗎？
0x000902  …………
0x00090C  請把薛爾法叫來吧。
0x000920  在這裡，她就是你所剩下的最後價值了。
0x000946  大姐……
0x000950  …………
0x00095A  純潔之盾之長，我的老朋友呀。
0x000978  ……是的。
0x000984  至少，讓我補償一下我的過錯吧。
0x0009A4  好的。
0x0009AC  …………
0x0009B6  …………
0x0009C0  …………
0x0009CA  薛爾法。
0x0009D4  …………
0x0009DE  …………
0x0009E8  妳好，薛爾法。
0x0009F8  ……是。
0x000A02  請您多多指教了。
0x000A14  那麼。
0x000A1C  現在還沒有完成工作的人，
0x000A36  就是那些留在帕蘭達因努力的人們吧。
0x000A5A  ……在十三個王杯都被集中在一起之前，
0x000A80  第十三王杯是不會聽取其他人的願望的。
0x000AA6  是的。
0x000AAE  所以他們應該還有機會吧。
0x000AC8  …………
0x000AD2  到了那個時候，就要請你好好地領導我們了。
0x000AFC  ……我也需要您的指導呀。
