0x0004F2  妳這樣地回到這裡來了呢……
0x00050E  然而我卻……
0x00051C  奈比洛斯。
0x000528  大姐……
0x000532  …………
0x00053C  …………
0x000546  妳看起來好像經歷了一場大戰的樣子。
0x00056A  看來……妳心裡有一些解不開的心事是吧？
0x000592  …………
0x00059C  那些孩子們正在看著妳呀。
0x0005B6  而妳的表情彷彿在忍受著全世界所有的痛苦，
0x0005E0  在這種情況下，
0x0005F0  妳覺得妳還有辦法對他們說些什麼嗎？
0x000614  …………
0x00061E  妳在沉默退縮的時候沒能說出來的那些話，
0x000646  現在可得要傳達出來呀。
0x00065E  …………
0x000668  呼嗯。
0x000670  …………
0x00067A  你願意收留她嗎，年輕的四大之長呀。
0x00069E  ……芭特菈閣下。
0x0006B0  …………
0x0006BA  沉思的聖堂的人們已經開始用自己的意志去行
0x0006E4  動了。
0x0006EC  這樣的話，他們也不再需要這個導師了。
0x000712  …………
0x00071C  大姐……
0x000726  …………
0x000730  純潔之盾之長，我的老朋友呀。
0x00074E  ……是的。
0x00075A  至少，讓我補償一下我的過錯吧。
0x00077A  好的。
0x000782  …………
0x00078C  …………
0x000796  …………
0x0007A0  那麼。
0x0007A8  現在還沒有完成工作的人，
0x0007C2  就是那些留在帕蘭達因努力的人們吧。
0x0007E6  ……在十三個王杯都被集中在一起之前，
0x00080C  第十三王杯是不會聽取其他人的願望的。
0x000832  是的。
0x00083A  所以他們應該還有機會吧。
0x000854  …………
0x00085E  到了那個時候，就要請你好好地領導我們了。
0x000888  ……我也需要您的指導呀。
