0x000550  我是凱洛特•溫菲！
0x000564  因為我才剛剛來愛爾梅納斯，
0x000580  所以有很多事情搞不清楚……
0x00059C  不過∼就因為這樣，所以不管碰到什麼事情都
0x0005C6  讓我很開心、很快樂、很興奮。
0x0005E4  會發生些什麼事情？
0x0005F8  我可以做些什麼事情？
0x00060E  這真的讓我期待到∼
0x000622  感覺晚上要睡覺是一件很浪費時間的事呢！
0x00064A  很遺憾的是∼門禁的時間實在太早了呀。
0x000670  老師也有被關進懲罰房裡面過嗎？
0x000690  欸，對了！
0x00069C  如果啊，是跟老師待在一起的話……
0x0006BE  可以讓我比門禁時間還要晚一點回來嗎？？？
0x0006E8  真的是承蒙大家幫忙了∼竟然！
0x000706  讓我拿到這個禮拜的ＭＶＰ啦！！
0x000726  從今以後我也會好好努力的！！！
0x000746  所以啦，就請大家拭目以待囉！！
0x000766  以上，就是我凱洛特•溫菲想要說的！
0x00078A  來愛爾梅納斯真是太好了……
0x0007A6  嗯嗯，在純潔之盾裡學習，
0x0007C0  一直都讓我感到很快樂。
0x0007D8  在這個令人懷念的教室裡，
0x0007F2  只要聽到大家的聲音，
0x000808  我就會突然變得很有精神……
0x000824  欸嘿嘿，
0x00082E  為什麼我會覺得這裡很令人懷念咧……？
0x000854  所以啊，我會好好努力的。
0x00086E  因為這裡有很多我不知道的事情，
0x00088E  還有很多我想做的事情呀！
0x0008A8  爺爺，您應該也會為我高興吧？
0x0008C6  我凱洛特今天也很努力唷！！
0x0008E2  好∼那就繼續這個氣勢，
0x0008FA  往前衝吧，追過去吧！
0x000910  唔，雖然，
0x00091C  還是有一大堆我不會做的事情……
0x00093C  啊，那個就算了啦，總之，一定要勇往直前！
0x000966  我明天也絕∼對會好好加油的！！
0x000986  這樣沒錯吧，老師！？
0x00099C  懷抱著熱情離開家鄉，經過了漫長的旅途……
0x0009C6  不知不覺間，
0x0009D4  讓我找到了一個感覺這麼好的地方。
0x0009F6  ……我不會忘記的。
0x000A0A  絕對不會忘記的。
0x000A22  能夠來到這裡，真的是太好了。
0x000A40  終於，我也找到了屬於自己的寶物了……
0x000A66  真的是非常感謝！！！
