0x00055A  雖然發生了那樣的事情，
0x000572  但我卻仍然能夠加入純潔之盾……
0x000592  能夠和大家在一起、
0x0005A6  能夠讓我抱持著這樣的希望、
0x0005C2  能夠這樣地受到包容……
0x0005DA  這一切，真的太令人開心了……
0x0005F8  我希望多少能為大家出一點力。
0x000616  ……大家願意收留我的這份恩情，
0x000636  我不會忘記的。
0x000646  從今以後也請大家多多指教了……
0x000666  這世界上也會有這麼順利的事情呢……
0x00068A  嗯……
0x000692  為了某件事物而如此熱衷，
0x0006AC  竟然是這麼快樂的事情。
0x0006C4  這種感覺我已經忘記了很久了。
0x0006E2  我會把這種心情藏在心底，
0x0006FC  在明天繼續努力。
0x00070E  老師您為什麼會來愛爾梅納斯呢？
0x00072E  雖然我覺得在這裡被老師教導，
0x00074C  是一件很值得驕傲的事情……
0x000768  不過我也會想：對老師來說，
0x000784  那混亂的世界才更是您可以發揮的舞台吧？
0x0007AC  ……不，抱歉，請當我沒有這樣說過。
0x0007D0  人呀……
0x0007DA  究竟要經過怎樣的痛苦，
0x0007F2  才能夠忘記去計較呢？
0x000808  本來應該是要因為這一點點的希望能夠實現，
0x000832  而打從心底感到快樂的。
0x00084A  明明就已經找到了珍視的寶物，
0x000868  卻不知何時地忘記了它的美麗，
0x000886  反而注意起那些小小的的瑕疵了。
0x0008A6  ……老師。
0x0008B2  像這樣的我……
0x0008C2  也有辦法變成像您一樣的人嗎？
0x0008E0  ……我現在是這樣想的。
0x000910  「能與您相遇，真好。」
0x000928  不管是什麼時候，
0x00093A  您都願意相信我們……
0x000950  在收容那被烙上了「匍伏蔓延而來之物的同類
0x00097A  」標記的法娜的時候是這樣。
0x000996  即使是聽見了希里鄔司那無情的話語之後，
0x0009BE  也是這樣。
0x0009CA  還有，
0x0009D2  就算是在發現我的心中有混沌寄宿的時候，
0x0009FA  也是這樣。
0x000A06  您無論什麼時候，
0x000A18  都用這麼溫暖而毫不動搖的心靈守護著我們。
0x000A42  我希望能夠更加地接近像這樣的您……
0x000A66  希望能夠跟得上您前進的步調。
0x000A84  像這樣的我，希望有一天能夠追上您的腳步……
