0x000570  可以請您告訴我嗎？
0x000584  老師您在這裡求學的時候的回憶……
0x0005A6  那讓思念在愛爾梅納斯裡奔馳的雪夜中回憶。
0x0005D0  那第一次進入學舍大門的，清晨的回憶。
0x0005F6  在對著書桌努力奮發的，黃昏的回憶……
0x00061C  那個時候您眼中所看到的都是些什麼呢？
0x000642  那個時候您心裡所想的都是些什麼呢？
0x000666  ……我想要知道。
0x000678  我想知道這世界上老師獨一無二的心情。
0x00069E  老師，我……
0x0006AC  我現在的努力符合您的期許嗎？
0x0006CA  就算只有一點點也好。
0x0006E0  我想要待在您的身邊，為您出一份心力。
0x000706  老師……
0x000710  我，我想要保護純潔之盾。
0x00072A  就算我所能做的幫助不大，
0x000744  我也想為您出一份心力。
0x00075C  但是要怎樣去做，
0x00076E  才能讓您感覺需要我的幫助呢？
0x00078C  我不知道……
0x00079A  要怎樣做才能保護純潔之盾呢？
0x0007B8  我不知道……
0x0007C6  ……從今以後我也會好好努力的。
0x0007E6  所以，懇請您……懇請您指引我。
0x000806  雖然一直不斷地努力再努力，
0x000822  也是會有無論如何都做不到的事情。
0x000844  那連會不會有所進步也不知道，
0x000862  因而時常流淚的日子，我都記得很清楚。
0x000888  但是，就是因為這樣……
0x0008A0  第一次被老師誇獎的時候，
0x0008BA  我是多麼地開心呀。
0x0008CE  ……我是在很熱衷的情況下努力到了現在。
0x0008F6  ……我不會忘記您的眼神，
0x000910  絕對不會，永遠也不會。
0x000928  如果從此以後我也能和您一起前進的話……
0x000950  那我真的是好幸福。
0x000964  可以這樣地被您引導……
0x00097C  讓我也稍微能理解身旁的一切了。
0x00099C  現在，回頭想想，
0x0009AE  我曾經給老師帶來了多大的麻煩呀。
0x0009D0  不，沒錯，
0x0009DC  就算如此您也沒有讓我看到那為難的表情。
0x000A04  所以……所以我要全心全力地報答您的恩情，
0x000A2E  我願意付出我的一切去支持您。
0x000A4C  ……無論會遇上什麼樣的事情，
0x000A6A  我都不會退縮。
0x000A7A  如果，您願意對我有所期許的話，
0x000A9A  無論會遇上什麼樣的事情也好……
