0x000626  奧爾菲老師過去一直都在等著你回來，
0x00064A  我記得很清楚。
0x00065A  夜幕在黃昏的天空裡落下，
0x000674  安靜的風微微地吹動著營火……
0x000692  老師用那清澈的聲音，
0x0006A8  一次又一次地述說著您的旅行。
0x0006C6  老師出外旅行的那個夜晚，
0x0006E0  給我的印象很深刻，
0x0006F4  就像是波浪的起伏一般劇烈……
0x000712  老師在說完了故事之後所留下的淚水，
0x000736  我沒有辦法忘記。
0x000748  所以，我能夠相信您。
0x00075E  雖然也有很多不明白的事情，
0x00077A  令人不安的事情……
0x00078E  不過我還是會全心全意地努力的。
0x0007AE  我能夠像現在這樣地去努力，
0x0007CA  都是託了老師跟大家的福……
0x0007E6  我沒辦法相信自己能夠做到這種程度。
0x00080A  就好像我已經不是我了的感覺，
0x000828  不過，這並不是在作夢……
0x000842  所以、所以……
0x000852  從今以後，也請大家多多指教了！！
0x000874  我……很害怕。
0x000884  雖然老師已經無微不至地教導了我，
0x0008A6  但我還是好害怕。
0x0008B8  仔細想想看，
0x0008C6  也許我們馬上就會被撕成碎片也說不定。
0x0008EC  只不過是這樣想著，雙腳就開始發起抖了。
0x000914  但是，但是，我絕對不要變成大家的負擔。
0x00093C  所以，拜託您。
0x00094C  請您教導我，教導我更多、更多的事情。
0x000972  老師，那個……
0x000982  我從老老師那裡聽說了……
0x00099C  您們曾經在九年前拯救了愛爾梅納斯的事。
0x0009C4  我也可以做到嗎？
0x0009D6  我們有辦法再度回到中央校舍嗎？
0x0009F6  ……帕彌菈學姊那悲傷的表情。
0x000A14  我已經不忍心再看到了。
0x000A2C  無論什麼事情我都願意做……
0x000A48  ……我會好好努力的。
0x000A5E  所以拜託您了。
0x000A6E  讓我感覺一下……
0x000A80  老師的勇氣。
0x000A8E  老師，我……
0x000A9C  能夠這樣地一直努力到現在，真的很開心。
0x000AC4  雖然不是到現在這種程度就夠了……
0x000AE6  雖然也感覺還沒辦法跟上別人的腳步……
0x000B0C  但是我已經知道了，自己可以去做的事情。
0x000B34  也知道了自己應該待的地方在哪裡。
0x000B56  您讓我知道了這些事情，真的是非常感謝。
0x000B7E  ……雖然能有的進步可能只有一點點，
0x000BA2  但我還是會繼續前進的。
0x000BBA  雖然能做到的事情只有這樣，
0x000BD6  但我還是會繼續前進的。
0x000BEE  因為，我知道我想追上的人還在前方。
