0x000570  您曾經離開愛爾梅納斯旅行，九年。
0x000592  ……那個時候，
0x0005A2  我才不過剛滿十歲呢。
0x0005B8  嗯嗯，是啊，那個時候我哭了呢。
0x0005D8  ……雖然如此，您在離開的時候對我說：
0x0005FE  「不是想要安慰妳，也不是為了跟妳道別。
0x000626  只是，不希望妳把悲傷留在眼淚中。」
0x00064A  呵呵……
0x000654  當時僅僅十七歲的您，
0x00066A  對還是個小女孩的我這樣說呢。
0x000688  然而……
0x000698  我只是對於能夠再這樣地跟您相見……
0x0006BC  感到非常地開心而已。
0x0006D2  ……請您從今以後，
0x0006E6  也繼續溫暖地領導純潔之盾吧。
0x000704  您願意這樣地慰勞我，我真的非常開心。
0x00072A  不過，就這樣把那些孩子們擱在一邊，
0x00074E  您也太不沉穩了吧。
0x000762  呵呵。
0x00076A  從今以後，也請您多多指教了呢，老師。
0x000790  這場戰爭應該還會持續很久吧……
0x0007B0  如果那些孩子們呀，
0x0007C4  每一個都可以繼續活下去的話就好了。
0x0007E8  我是這麼希望著的。
0x0007FC  為了讓他們存活下去，無論我要怎麼做都好。
0x000826  請您不用擔心我。
0x000838  懇請您，不要有任何猶豫地，
0x000854  告訴我應該怎樣做吧。
0x00086A  大家的表情都開始變得成熟了呢……
0x00088C  那些已經得到了力量的孩子、
0x0008A8  掌握了某種信念的孩子、
0x0008C0  看準了眼前目標的孩子……
0x0008DA  懇請您從今以後也能像過去一樣。
0x0008FA  好好地去感受與指引那些孩子們的心，
0x00091E  真的非常感謝您。
0x000930  在這裡，在這個愛爾梅納斯……
0x00094E  我曾經被教導、曾經獲得不少東西、
0x000970  曾經被指引、也曾經數度落淚、
0x00098E  咬著牙忍耐痛苦、但我仍然愛著這個地方……
0x0009B8  後來，也曾經離開純潔之盾……
0x0009D6  然而，我卻不曾忘記。
0x0009EC  這裡就是我的故鄉。
0x000A00  嗚……對不起……
0x000A12  真的、真的……
0x000A22  真的非常地感謝您……！
