0x0008F8  「黃昏之月」─奧爾菲•羅馬諾華……
0x00091C  我現在也是這麼想的，他雖然很年輕，
0x000940  但卻是個很好的老師呢。
0x000958  我們奈比洛斯老師雖然嘴上沒有這樣說，
0x00097E  不過我想她在心裡一定也是這麼認為的吧。
0x0009A6  聖瑟維艾斯和純潔之盾，
0x0009BE  曾經一起參加了不少的冒險，
0x0009DA  也經常一起上課。
0x0009EC  說不定呀，
0x0009F8  我從以前就一直希望著會有這麼一天。
0x000A1C  如果是這樣的話……
0x000A30  不管是什麼樣的事情，
0x000A46  我都會在這裡把它完成給您看的。
0x000A66  ……老師！
0x000A72  真的非常感謝您願意收容我！
0x000A8E  雖然以後或許也會帶給您困擾，
0x000AAC  不過還是請您多多指教！！
0x000AC6  又立功得賞啦！！
0x000AD8  嗯呼∼∼∼
0x000AE4  老•師•呀！
0x000AF2  讓我認真起來可是不行的唷☆
0x000B0E  我法娜•修貝流士可不是能永遠都待在這裡的
0x000B40  所以囉，這樣不是會變得很困擾嗎？
0x000B62  如果我變得沒有辦法離開老師的話，
0x000B84  無論是您還是我都會困擾吧？
0x000BA0  還是說，您會擔心我究竟在做些什麼呢？
0x000BC6  呵呵，真令人高興呢。
0x000BDC  單單是有人願意關心我這點，
0x000BF8  就很令人開心了不是嗎☆
0x000C10  被稱為名門的純潔之盾呀，
0x000C2A  也已經不像過去那麼興盛了……
0x000C48  一共只有三個人的四大學級，
0x000C64  帕蘭達因會不把你們放在眼裡也是當然的嘛∼
0x000C8E  雖然我並不是一直都在仔細觀察啦，
0x000CB0  但不管是瑟希莉絲還是伊里安，
0x000CCE  好像都是很不錯的人才呢。
0x000CE8  但是呀，我感覺他們好像就是缺乏了一點
0x000D0E  「就這樣衝呀！」的那種感覺。
0x000D2C  愛爾梅納斯變成了這樣、
0x000D44  純潔之盾也離開了安蒂米昂、
0x000D60  發生了很多很多的事情……
0x000D7A  那些孩子們的想法一定也稍微有所改變了吧。
0x000DA4  雖然說咧，現在的伊諾森提雅，
0x000DC2  能力完全沒辦法追上帕蘭達因和葛斯貝布洛。
0x000DEC  但是勝負也不是只靠那些能力就可以決定的。
0x000E16  ……呵呵，真是讓人期待呢。
0x000E32  雖然當我剛來到這裡的時候呀，
0x000E50  真的是充滿了憎恨、充滿了懊惱，
0x000E70  但是現在不一樣了。
0x000E84  不管是討厭的事情也好、辛苦的事情也好，
0x000EAC  那些都可以隨他去了啦。
0x000EC4  不管是在聖瑟維艾斯、或是在伊諾森提雅也好
0x000EEE  ，要做的事情都一樣，
0x000F04  就只是相信著大家一起前進。
0x000F20  我現在能夠做到的那些事情，
0x000F3C  就要把握現在全力地去完成。
0x000F58  而且，我一定會努力到最後。
0x000F74  ……這是我們的約定唷，老師。
0x000F92  好嗎☆
0x000F9A  嗯∼∼∼嗯！！
0x000FAA  哈啊∼∼∼∼∼感覺好好唷。
0x000FC6  ……這裡真的很好呢。
0x000FDC  不管什麼事情都有。
0x000FF0  不管什麼事情也都沒有。
0x001008  雖然好像沒有路了，
0x00101C  但是可以走的路也就在眼前。
0x001038  有許多的候鳥今年也毫不迷惑地降落在這裡，
0x001062  然後再度啟程旅行。
0x001076  我也有辦法嗎？
0x001086  擁有那可以飛到任何地方的翅膀……
0x0010A8  建立一個可以好好休息的，自己的家……
0x0010CE  找到可以前進的方向……
0x0010E6  結識可以互相扶持的夥伴……
0x001102  像這樣的我，一直都很希望可以那樣。
0x001126  十二王杯可以驅除混沌，
0x00113E  這件事情我也知道……
0x001154  然而，
0x00115C  奈比洛斯老師並不同意這樣地去使用王杯。
0x001184  我想那大概是因為……
0x00119A  她不希望我們執著在「只要這樣做就好了」的
0x0011C4  想法中……
0x0011D0  我認為她是想要我們去深思一下……
0x0011F2  「到底為什麼要這樣做」。
0x00120C  因為她希望我們能好好考量，
0x001228  我們是抱著什麼樣的想法，
0x001242  使用什麼樣的方式，在解決什麼樣的事情。
0x00126A  中央校舍陷落的那個時候，
0x001284  如果我也在那裡被囚禁了的話，
0x0012A2  我還能不能忍耐住恐懼與孤獨，
0x0012C0  這樣地找到一切的答案呢？我不知道。
0x0012E4  ……我會努力的。
0x0012F6  為了那理解而包容了我的心思的您……
0x00131A  為了那些守住了沉思的諾言的朋友們……
