0x000592  欸嘿嘿……
0x00059E  父親大人的手指、父親大人的味道、
0x0005C0  父親大人的眼神……
0x0005D4  嗯嗯，這不是在作夢呢。
0x0005EC  真的是、真的是好久不見了。
0x000608  可以答應奎絲忒一個任性的要求嗎？
0x00062A  我想像好∼久好久以前那樣，
0x000646  和父親大人一起睡午覺。
0x00065E  ……不可以嗎？
0x00066E  嗯嗯，那也沒關係。
0x000682  因為，您看，您現在已經離我這麼近了嘛。
0x0006AA  從今以後，也請您告訴我好多、
0x0006C8  好多各式各樣的事情唷。
0x0006E0  欸，那個，啊，可是這樣好像不對耶。
0x000704  因為羅弗利大人說：
0x000718  「老是向人強求什麼的是壞孩子。」
0x00073A  可是，奎絲忒想要被人教導呀。
0x000758  那要怎樣做才好呢？
0x00076C  呼咻∼∼
0x000776  為什麼咧？
0x000782  奎絲忒呀，奎絲忒想要當個乖小孩！
0x0007A4  為什麼咧？
0x0007B0  大家呀，都稱讚我說我很努力，我好開心。
0x0007D8  但是，但是呢。
0x0007E8  各式各樣的事情、
0x0007FA  那樣的事情、這樣的事情……
0x000816  對奎絲忒來說，一點都不困難呀。
0x000836  今天要去哪裡咧？
0x000848  明天要做些什麼咧？
0x00085C  開心的事情、辛苦的事情、
0x000876  刺激的事情、痛苦的事情、
0x000890  溫和的事情和害怕的事情，
0x0008AA  還有還有，已經解決了的事情……
0x0008CA  只要能夠跟父親大人在一起，
0x0008E6  奎絲忒全∼部都好∼喜歡。
0x000900  那麼那麼，雖然我還是個不懂事的女兒，
0x000926  還懇請您多多照顧了。
0x00093C  奎絲忒呀……
0x00094A  奎絲忒現在是不是符合父親大人的期望呢？
0x000972  欸，嗯。
0x00097C  如果我能多瞭解一點父親大人的事情就好了。
0x0009A6  因為我的能力一定是不夠的……
0x0009C4  一定的，各方面都不夠。
0x0009DC  所以，
0x0009E4  奎絲忒希望可以試試看去做各式各樣的事情。
0x000A0E  想變成父親大人您所希望的樣子。
0x000A2E  既然您說我只要自由地去做自己想做的事情就
0x000A58  好，所以奎絲忒也想要跟父親大人一樣變成賢
0x000A88  然後，希望總有一天，
0x000A9E  可以和您一起去走那漫長的漫長的旅程。
