0x000338  三年前離開了純潔之盾，
0x000350  現在再度這樣地回到這裡……
0x00036C  才發現這真的是繞了一趟遠路。
0x00038A  我曾經以您為目標，憧憬著您而努力。
0x0003AE  也正是因為如此，
0x0003C0  所以曾經有過怨恨、有過挫折、
0x0003DE  有過悲傷流淚的經驗。
0x0003F4  但是，卻從來也不曾感覺您不是我要去追趕的
0x00041E  崇高目標。
0x00042A  ……因為現在再次地被您領導。
0x000448  所以，我一定要努力地超越您，給您看看。
0x000470  如果我們可以拯救愛爾梅納斯的話……
0x000494  那個時候，我就要去外面的世界旅行。
0x0004B8  我希望可以幫那些賢者出一份力。
0x0004D8  我希望能夠重新地審視自己。
0x0004F4  我是這麼想的。
0x000504  我追逐著你的腳步，魯莽地奮鬥了很久。
0x00052A  我認為在純潔之盾這個溫室裡，
0x000548  是沒有辦法鍛鍊自己的，所以我離開了。
0x00056E  然而，事實卻不是這樣的。
0x000588  無論是在什麼地方，
0x00059C  只要自己有決心的話，就可以學到東西。
0x0005C2  ……我想起了您所說過的話。
0x0005DE  「最棘手的敵人不會是其他的任何人，
0x000602  而是自己。」
0x000610  ……我絕對不會再忘記了。
