0x0004F2  如果帕蘭達因要持續那種無理的行為的話，
0x00051A  我想要去鍛鍊那可以阻止他們的力量，
0x00053E  並且挑戰他們。
0x00054E  葛斯貝布洛因為背負著那有長久歷史的門規，
0x000578  所以在那裡沒有辦法這樣做……
0x000596  但是，如果是在純潔之盾的話，
0x0005B4  我覺得有辦法如願。
0x0005C8  我將會在這裡發揮從過去到現在一直在培養的
0x0005F2  一切。
0x0005FA  這也是為了用那眼神與雙手，
0x000616  回答了我的話語的帕彌菈學姊。
0x000634  請您多多指教了。
0x000646  ……我曾經認為，一旦上了戰場，
0x000666  最後還能存活的就只能有其中的一方。
0x00068A  然而，也是有時候不會是這樣的情況。
0x0006AE  原來大家握手言合，
0x0006C2  一起去追求某種事物的感覺是這麼地美好……
0x0006EC  唔，啊，那個……
0x0006FE  非常地，感謝您……
0x000712  所謂的自由，是以責任為名的「字」……
0x000738  ……這段時間以來我一直任性妄為，
0x00075A  第一次地失去了自由。
0x000770  如果，還有其他更多的事情可以學習的話……
0x00079A  我也想去學習。
0x0007AA  如果您也願意教導我的話……
0x0007C6  在人的心中竟然可以有這麼深的傷痛，
0x0007EA  我連想都沒有去想過，
0x000800  那失去了什麼的感覺、
0x000816  想要去保護什麼的感覺、
0x00082E  想要去相信什麼的感覺。
0x000846  ……所以，我要去試試看。
0x000860  因為我不想要輸給那個人。
0x00087A  絕對不要。
0x000886  天空就是天空……
0x000898  老師當初所說的話，我現在稍微可以理解了。
0x0008C2  清澈無垠的高空、降下甘霖的恩惠、
0x0008E4  雲霞綿延的美麗、疾馳在空中的雷光，
0x000908  不管是哪一個也好，
0x00091C  大家都很努力地在天空裡展現自己。
0x00093E  無論是夕陽、深夜、或是黎明，
0x00095C  這一切都是天空呀。
0x000976  就像……這裡就是這裡一樣，
0x000992  我也想好好地做我自己。
0x0009AA  做不會對自己感到羞愧的自己。
