0x0005DE  想想看，你離開這個學舍的時候，
0x0005FE  也才不過十七歲是嗎？
0x000614  你跟著沉默之長，
0x000626  那毫無疑惑的眼神透露著想要去世界各地見識
0x000650  的期待，然後就這樣地出發了。
0x000676  展開旅行的時機總是出其不意地降臨。
0x00069A  無論是曾經在多長的旅途裡一同前進，
0x0006BE  也不會有永遠都不分開的夥伴。
0x0006DC  之後，經過了九年……
0x0006F2  當我們聽說那混沌世界的中樞、
0x000710  翡翠的聖都希農陷落的消息的時候，
0x000732  真的是讓我們懷疑自己的耳朵……
0x000752  然而奧爾菲他毫不猶豫地說了。
0x000770  ──「就算因為自己力有不逮而後悔、
0x000794  痛苦、跪倒在地、處在孤獨之中，
0x0007B4  那個人也會再次站起來……
0x0007CE  只有純潔之盾可以拯救他吧。
0x0007EA  並且，也就像他會拯救這個純潔之盾一樣。
0x000812  所以，如果我不出外旅行的話是不行的。
0x000838  為了保衛他美麗的內心，
0x000850  以及他心中的燈火───
0x000868  ……無論何時，在怎樣的情況下，
0x000888  我都相信著你們。
0x00089A  就是這樣，你才會回到了這個地方。
0x0008BC  啊啊，就是因為這樣。
0x0008D2  這些年幼的孩子們呀，就麻煩你照顧了。
0x0008F8  這麼抬舉我這個老頭子，是有什麼企圖啊？
0x000920  把孩子們都丟在一邊，
0x000936  你這傢伙還真是令人傷腦筋呀。
0x000954  啊啊，這樣也好。
0x000966  我也很久沒有被你那天真爛漫的笑容給騙到啦
0x000994  看到孩子在爬就希望他們能夠站起來，
0x0009B8  看到他們站起來就希望他們能夠走路的這份為
0x0009E2  人父母的心情，
0x0009F2  甚至讓我都忘記了這一副衰老的身體呢……
0x000A1A  都已經十年啦。
0x000A2A  看到你能一路走到現在，我是多麼地欣慰呀。
0x000A54  然而，唉呀，看看我這副老骨頭，
0x000A74  也根本沒有什麼值得學習的地方了吧。
0x000A98  不過至少，就讓我回應你的這份感情吧。
0x000ABE  既然能夠再和你這樣地一起前進，
0x000ADE  我當然會好好地活下去呀。
0x000AF8  ……只要人還活著的一天。
0x000B12  當然會有痛苦的事情，也會有辛苦的事情。
0x000B3A  就是因為這樣，
0x000B4A  所以懇請你好好地保重自己的身體呀。
0x000B6E  我是什麼時候曾經這樣說過呢？
0x000B8C  「總有一天，你才會變成我的老師呀。」
0x000BB2  我感覺很開心，
0x000BC2  因為在我的生命就將走到終點的時候，
0x000BE6  還能夠對你有所幫助。
0x000BFC  大家就拜託你照顧了。
0x000C12  大家就拜託你照顧了。
