0x002D14  物理方面擁有比較強的攻擊力與防禦力。
0x002D3A  這是「重戰士」職業的特徵。
0x002D56  但最嚴重的缺點是……
0x002D6C  在所有職業中，移動速度是最慢、視野也最小的。
0x002D9A  而且，無法使用魔法也是個問題。
0x002DBE  所以這個職業的優點就也被他的缺點抵銷了不少。
0x002DEC  對以力量（ＳＴＲ）為其專長的重戰士來說，
0x002E16  這次的ＳＴＲ提升訓練課程，絕對不能錯過。
0x002E40  移動速度快，對物理及魔法攻擊都有足夠的防禦力。
0x002E70  物理攻擊並不弱，視野範圍也不會太小。
0x002E9A  如果一定要說有什麼缺點的話……
0x002EBA  那就是戰鬥中沒有什麼特別的專長吧。
0x002EE2  雖然如此，這個職業的泛用性卻相當高。
0x002F08  在各式各樣的戰局中，都可以發揮一定的實力。
0x002F38  對以敏捷（ＡＧＩ）為其專長的劍士來說，
0x002F60  這次的ＡＧＩ提升訓練課程，絕對不能錯過。
0x002F8A  寬廣的視野、最快的移動速度，是獵人的驕傲。
0x002FB6  以弓為主要武器，物理攻擊的射程範圍大，戰鬥時較有利。
0x002FEC  但是防禦方面，無論對物理或是魔法攻擊的防禦都很差。
0x003024  早一步發現敵人，可以掌握先機對敵人作遠程攻擊。
0x003054  另外，成為重戰士與魔法師的耳目，掌握戰局的變化；
0x003086  這些都是獵人在戰場上的職責。
0x0030A8  對以敏銳（ＳＥＮ）為其專長的獵人來說，
0x0030D0  這次的ＳＥＮ提升訓練課程，絕對不能錯過。
0x0030FA  說到僧侶系最大的特徵……
0x003114  大概就是他們的普通攻擊可以對己方夥伴進行回復這一點了
0x003150  而且針對魔法攻擊有完美的防禦能力，
0x003174  這也是不容忽視的特長。
0x003190  但是無論是視野範圍、移動速度、射程範圍，還是攻擊威力
0x0031C6  ，都只是中等程度，並沒有其他太突出的能力。
0x0031F6  對以道德（ＶＩＲ）為其專長的僧侶來說，
0x00321E  這次的ＶＩＲ提升訓練課程，絕對不能錯過。
0x003248  操縱著龐大種類的魔法，在驚人的遠距離外消滅敵人。
0x00327A  這就是魔法師之所以被稱為魔法師的原因呀。
0x0032A4  這個職業的威力壓倒性地強大，如果能專注地針對某個目標
0x0032DA  施展的話，將會發生驚人的效果。
0x0032FE  雖然如此，魔法師對物理攻擊的防禦則如同毫無保護一般，
0x003334  自身的視野範圍也不能說很寬廣。
0x003354  魔法師的存在就如同重戰士一般，
0x003374  有著決定性優勢的同時，也有著嚴重的缺陷。
0x0033A2  對以智力（ＩＮＴ）為其專長的魔法師來說，
0x0033CC  這次的ＩＮＴ提升訓練課程，絕對不能錯過。
0x0033F6  一開始的時候，只要從一些小事情做起就好了。
0x003422  去實行那些會讓你們感覺「啊啊，如果能夠這樣該有多好」
0x003458  ……的事物，就算只有一點點行動也好。
0x003482  我的老師過去曾經說過：
0x00349A  「不要去執著這樣做對你自己有什麼好處，
0x0034C2  只要別忘記了要為別人付出就好了。」
0x0034EA  這些話，我到今天也沒有忘記……
0x00350A  而我相信，這種想法一定會成為支撐純潔之盾的思念吧。
0x00353E  所謂的魔法，是在世界各地、從過去到現在一直在發展的，
0x003574  一門範圍廣大的學問。
0x00358A  到今天為止，那研究熱潮也不曾有所減退。
0x0035B6  要只用簡短的幾句話來說明魔法是什麼東西，
0x0035E0  實在是有點輕忽的做法，
0x0035F8  畢竟在很久很久以前，魔法就已經分成了好幾種領域。
0x00362E  雖然目前在純潔之盾只教導屬性分類的法則，
0x003658  不過無論如何，那也是根據特性所做的基本分類，
0x003686  所以大概用直覺也可以分辨得出來吧。
0x0036AE  那麼，現在要教的，可以說是一切魔法的基礎的古老魔法。
0x0036E4  在學習這些沒有屬性的無屬性咒文過程中，
0x00370C  應該可以很確實地了解到所謂的魔法究竟是什麼，不是嗎。
0x003746  所謂的風，就是不受一切事物拘束的自由象徵。
0x003772  在咒文中，是發生效力最快的一個屬性，
0x003798  對施術者來說，這真的是一個無法估計的好處。
0x0037C8  然而，風所能引出的力量也是有限的，
0x0037EC  它的力量和其他大多數的屬性魔法比起來，應該都是比較差
0x003822  的吧。
