0x00793C  值得紀念的第一次戰鬥，是在這達雷西昂的城寨嗎？
0x00796C  無論是對你、還是對我來說，都是個充滿回憶的地方。
0x0079A2  在這達雷西昂，有光的障壁保護。
0x0079C2  有守護塔，也有聖者之泉，
0x0079DC  對於那些懷著澄澈心靈的孩子們，
0x0079FC  它們一定會暗中給予庇祐吧。
0x007A18  接下來，就努力與「匍伏蔓延而來之物」對抗吧。
0x007A4A  雖然心中感傷，但也別忘了要小心應對。
0x007A70  要阻止「匍伏蔓延而來之物」們侵襲這裡。
0x007A9C  只要有光的障壁阻擋，「匍伏蔓延而來之物」便無法通行，
0x007AD2  確實地守住障壁，就能阻止它們前進。
0x007AF6  另外還要注意，在不離開太遠的情況下，
0x007B1C  利用城砦來作戰也會有不錯的效果。
0x007B3E  沒有什麼要特別注意的事。
0x007B58  這次的敵人，恐怕只是斥候等級之類的吧。
0x007B80  就算不是大規模的入侵……
0x007B9A  但如果障壁被破壞，讓它們能夠長驅直入的話，
0x007BC6  我想就不會那麼簡單了。
0x007BE2  若是能夠與守護塔以及聖者之泉並肩作戰的話……
0x007C10  這場戰役就能夠讓它們嚐嚐「反抗」是什麼滋味。
0x007C3E  帕彌菈•露弗鐸可勞向您報告。
0x007C60  霍雷斯迴廊的守護塔仍被蒼藍的火焰所照亮著。
0x007C8C  被封鎖的黑暗迴廊裡，
0x007CA2  守護塔卻沒有染上被混沌之氣所污染的暗紅色光芒。
0x007CD2  我猜想……
0x007CDE  那該不會是因為還有純潔之盾的成員在裡面吧？
0x007D0E  的確，霍雷斯迴廊目前還沒有變成「匍伏蔓延而來之物」
0x007D42  的巢穴。
0x007D4C  雖然如此，但可以確定的是，
0x007D68  現在迴廊的主要通道也充滿了危險。
0x007D8A  在不慌不忙、碰到強敵也不逞強，並適時撤退的前提下，
0x007DBE  我懇請您准許我們出戰。
0x007DDA  點亮那蒼藍火光的人究竟是誰……
0x007DFA  我衷心地想要去幫助他。
0x007E16  讓我們去那裡調查看看，如果沒有結果的話……
0x007E42  我會就此放棄。
0x007E56  一切都遵照您的裁示。
0x007E6C  在霍雷斯迴廊的深處，
0x007E82  也許還有生還者正等待著我們的救援。
0x007EA6  如果對方曾經為了得到守護塔的庇護，
0x007ECA  而點亮了那蒼藍的燈火。
0x007EE2  說不定他還逗留在那附近吧。
0x007EFE  因為考量到任務的危險程度，時間限制在２０分鐘之內。
0x007F32  經過長久的封印，究竟有什麼東西會破封而來……
0x007F60  無論怎樣周詳地推測，那都是我們意料之外的事情。
0x007F90  這也就意味著……
0x007FA2  儘管沐浴在守護塔的藍光下，
0x007FBE  若是毫無顧忌地直衝迴廊深處，還是會有危險的。
0x007FEC  帕彌菈•露弗鐸可勞向您報告。
0x00800E  混沌已經在那久遭闇影所籠罩的賽格諾爾街道上，
0x00803C  產下了種子。
0x00804A  這是法爾德大人所傳來的消息。
0x008068  象徵著街道平和的兩座守護塔之中，
0x00808A  已經有一座染上了混沌的紅色。
0x0080A8  能消除旅途疲勞的聖者之泉，
0x0080C4  恐怕也無法保證不被遭受污染。
0x0080E6  透過賽格諾爾的通路，
0x0080FC  這艾爾貝洛瓦跟安蒂米昂、中央校舍連接在一起。
0x00812A  我認為這場排除外來威脅的戰鬥，
0x00814A  對我們「純潔之盾」而言，有很重要的意義。
0x008178  因此，接下來就要麻煩您下決斷了。
0x00819A  這次作戰目的是討伐賽格諾爾的「匍伏蔓延而來之物」。
0x0081CE  當然，讓被污染的守護塔以及聖者之泉重新燃起聖潔的
0x008200  藍焰，也是作戰的目的之一。
0x00821C  時間限制是２０分鐘。
0x008232  在賽格諾爾中，身為主力的……
0x008250  似乎是無法自行移動的「混沌種子」。
0x008274  在敵方的射程範圍以外發動攻擊，將會是有效的辦法。
0x0082AE  另外，無論是守護塔、聖者之泉或是混沌種子，
0x0082DA  都是使用魔法攻擊。
0x0082EE  如果非得接近敵方不可的話，
0x00830A  請儘量派遣魔法師或是僧侶前往。
0x00832A  早安。
0x008332  薛莉爾•崔諾瓦向您報告。
0x008350  就如同鎖匙之長所諭示的一樣……
0x008370  尤安瀑布響起了不安寧的水聲。
0x00838E  無論是凱洛特所說的那名少女在那裡也好，
0x0083B6  不在那裡也好。
0x0083C6  總之……希望您能預作打算。
0x0083E2  將潛伏在尤安瀑布的「匍伏蔓延而來之物」全部消滅。
0x008414  這樣的話……自然就可以保障那位少女的安全吧。
0x008446  這次情況緊急，必須在十分鐘之內解決。
0x00846C  既然戰場在水邊，就要對「母長老」多多注意。
0x008498  在他們生出更多「匍伏蔓延而來之物」之前打倒他們，
0x0084CA  會對戰局有不小的幫助。
0x0084E2  所謂的「巡邏」，是以純潔之盾為先驅的一群有志之士。
0x008516  盡其所能，輪番地前往被混沌佔領的地方戰鬥。
0x008546  雖然聽起來很窩囊，但實際上我們所能做的，
0x008570  也只能監視是否有異狀發生而已。
0x008590  若是沒有什麼異狀的話，就不會進一步行動。
0x0085BA  然而……總有一天會無意間有所斬獲的。
0x0085E6  我認為那對收復愛爾梅納斯來說，一定會有所幫助的。
0x008618  正因為純潔之盾處於目前的困境中……
0x00863C  才更需要置身於戰場上磨練自己，
0x00865C  這是我法爾德•貝利斯的忠告。
0x00867A  雖然通常只是去查看情況而已，
0x008698  但這次卻有其他的目的。
0x0086B4  貝亞托利斯的聖者之泉已經黯淡無光。
0x0086D8  是否已經遭受「匍伏蔓延而來之物」的污染，
0x008702  需要進一步去查探清楚。
0x00871E  查明狀況，並且讓聖者之泉恢復蒼藍的光芒，
0x008748  是這次行動所必須達成的最小目標。
0x00876A  如果時間拖得太長，將無法集中戰力。
0x00878E  請在３０分鐘之內完成任務。
0x0087AA  混沌的種子已經在水邊萌芽。
0x0087C6  那種子所散發的氣息將喚來更大的混沌。
0x0087EC  雖然這次作戰的主要目的不是掃除它們……
0x008814  但早一步消滅這些禍源，也是大家都希望的吧。
0x008840  經過純潔之盾全體的決議，
0x00885A  大家決定要再度挑戰賽格諾爾的敵人，
0x00887E  以做為驗收修行成果的試鍊。
0x00889E  雖然成員的編制並沒有改變，
0x0088BA  但這次結合了八個人的力量，應該會有一番作為。
0x0088E8  最重要的是，我們是否可以學以致用，
0x00890C  現在正是可以測驗的重要時刻。
0x00892A  打倒出現在賽格諾爾的「燈火之盾衛」班奇涅爾，
0x008958  就是這次的作戰目的。
0x008972  只要「匍伏蔓延而來之物」的首領還在，
0x008998  就不可以輕忽它們的戰力。
0x0089B6  相對地，只要打倒領導者，勝負自然就一目了然。
0x0089E4  請不要誤解了作戰目的啊。
0x0089FE  沒有時間限制。
0x008A0E  能戰鬥到什麼程度，就努力到什麼程度吧！
0x008A36  敵方有首領存在，表示敵人是依照戰術性命令而行動。
0x008A68  雖然要隨時小心不要被圍剿。
0x008A84  但在隊伍的進退上，也要有足夠的魄力。
0x008AAA  啊啊……我這個老人似乎也太囉唆了一點。
