0x000644  愛爾梅納斯呀……我衷心的祈求您能夠包容這些幼小的孩子們。
0x00067E  黃金獵場
0x0006BC  經過了長久的歲月，風化出一些充滿異樣氣氛的奇形怪岩，產生了一種自然的造型美。
0x00070A  坎普聶羅莊
0x00071A  深受妖精們喜愛，被深邃的森林所圍繞的谷地村落。
0x00074A  近年來，這裡出現了不少像是「鎖匙之長」帕配修•斐，或是「滑步」雷吉奧斯•班德列塔之類的優秀精靈。
0x0007AC  因為追求著榮耀，不知不覺間，學舍裡的人們被外人以賢者相稱……
0x0007EA  然而，這個地方卻一直保持著學舍草創時期的樸素氣質，現在也還靜靜地被大自然所擁抱著。
0x00083E  歌詠星辰的天蓋
0x000852  三百年前，為那長久的黑薔薇戰爭畫下句點，是愛爾梅納斯首屈一指的天壇。
0x000898  重複交疊的眾多魔法陣，和星辰的運行有密切的關聯，可以說是魔法的觸媒。
0x0008DE  雖然它的威嚴被蔓生的青苔遮掩，但眾人仍然認為它正在守護著整個學舍。
0x000922  眺望萬物的尖塔
0x000936  守護著愛爾梅納斯西方的巨塔「伊力雅」。
0x00095E  它用言靈說明了世間一切的事物，可以說是一個永不歇息的研究機關。
0x00099E  在四大學級之一的帕蘭達因入主這裡之後，不到三年的時間內，
0x0009D8  就以守護學舍的四大居城姿態，散發出無法動搖的力量與美感。
0x000A12  中央校舍
0x000A20  身為東方賢者學院愛爾梅納斯的中樞，這是一個可以讓全體師生共聚一堂的巨大建築。
0x000A6E  建立在古代遺跡群上的中央校舍─羅亞爾•聖提，在「匍伏蔓延而來之物」的攻擊下，僅僅三天就陷落了。
0x000ACE  現在這裡正被混沌所包圍，化作了瓦礫的學舍精神象徵，不由得讓人感覺這代表著學舍的悲慘與屈辱……
0x000B2C  迷失之森
0x000B3A  守護著愛爾梅納斯的天然屏障之一部分，
0x000B60  在高低起伏劇烈的地形上，生長著無數的巨樹，因而自古以來就被人睛穡是天然的婁響城砦。
0x000BB4  土壤裡含有豐富的水分，受到那沃土所滋養的樹木，不曾被火焰侵蝕而度過了長久的安寧歲月。
0x000C0A  阿曼吉歐古戰場
0x000C1E  曾經是被列為愛爾梅納斯三景之一的名勝。
0x000C46  黑薔薇戰爭末期，當那戰火甚至延燒到愛爾梅納斯的時候，這裡也不可避免地成為了戰場。
0x000C98  因為這裡只剩下一片寸草不生的荒野，因此，我們現在已經無法想像過去那一副美景了。
0x000CF2  位在愛爾梅納斯的中心，瀰漫著一片鮮明蔚藍的豐饒海洋。
