0x00151A  集中（常駐）
0x00152C  這是提升集中力的技能。
0x001544  就算受到很大的傷害，也不會因此使技能的準備中斷。
0x001576  爆碎斬（使用）
0x00158A  對一定範圍內的敵人施予有破壞力的一擊。
0x0015BA  ★重戰士的專用技能。
0x0015D0  鐵壁（常駐）
0x0015E2  提升抵抗物理攻擊的【裝甲】值。
0x001602  同時提升抵抗【毒】之類異常狀態的【身體耐性】。
0x001632  但是因為會減低【精神耐性】，
0x001650  所以對魔法攻擊的防禦力將會下降。
0x001672  灼炎衝擊（使用）
0x001688  在原地迴轉，對所有身邊的單位進行攻擊。
0x0016B8  ★重戰士系專用技能。
0x0016CE  生命的活力（常駐）
0x0016E6  活化身心的機能，提升【ＨＰ】的上限值。
0x00170E  靈氣閃光（使用）
0x001724  發出強大的靈氣攻擊一定範圍內的敵人，
0x00174A  雖然攻擊力不大，但還是會造成敵人一定的傷害。
0x001780  ★重戰士系專用技能。
0x001796  天使之手（使用）
0x0017AC  藉由給予神聖的力量加持，
0x0017C6  提升物理攻擊的【威力】與【命中率】。
0x0017F4  ★重戰士系專用技能。
0x00180A  製盾者（常駐）
0x00181E  藉由精通防衛的知識，
0x001834  提升對應於物理攻擊的【裝甲】與【迴避率】，
0x001860  相對地，將會降低抵抗魔法的【障壁】。
0x001890  ★劍士系專用技能。
0x0018A4  攻擊的訣竅（常駐）
0x0018BC  藉由精通攻擊的知識來提升物理攻擊的【威力】。
0x0018EA  連擊（使用）
0x0018FC  活用自身的敏捷性，在一次攻擊中給予多次傷害。
0x00192A  但使用後的僵硬時間也會倍增。
0x001950  ★劍士系專用技能。
0x001964  空壓斬（使用）
0x001978  利用風的力量將劍壓化作衝擊波，
0x001998  對遠方的敵人進行攻擊。
0x0019B8  ★劍士系專用技能。
0x0019CC  鷹爪（使用）
0x0019DE  跳到空中，利用重力給予敵人強力的攻擊，
0x001A06  當攻擊擊中的時候，
0x001A1A  將會解除目標的【ＧＯＯＤ】狀態。
0x001A44  ★劍士系專用技能。
